Index,Sort order,GeneID,avg mIFOR,avg mICRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
14236,963,TCF21,116,2,5.9,-5.6,5.6,0.00,0.00,yes,1,1,1
8965,870,LOC115949042,0,93,5.5,8.7,8.7,0.00,0.00,yes,1,1,1
12804,785,S100B,24,0,3.6,-7.1,7.1,0.00,0.02,yes,1,1,1
9310,779,LOC115949447,54,0,4.8,-7.8,7.8,0.00,0.00,yes,1,1,1
7507,753,LOC102044608,0,30,3.9,7.5,7.5,0.00,0.00,yes,1,1,1
532,734,ANXA10,391,2,7.6,-7.3,7.3,0.00,0.00,yes,1,1,1
3454,731,FAM222A,2,90,5.5,5.6,5.6,0.00,0.00,yes,1,1,1
5147,714,KIAA0319,0,23,3.5,7.1,7.1,0.00,0.00,yes,1,1,1
4220,711,GPRIN2,14,0,2.8,-5.3,5.3,0.00,0.00,yes,1,1,1
15693,688,XIRP1,20,0,3.3,-6.9,6.9,0.00,0.00,yes,1,1,1
6305,686,LOC102036849,0,34,4.1,6.8,6.8,0.00,0.00,yes,1,1,1
9586,675,LYZ,26,0,3.7,-6.7,6.7,0.00,0.00,yes,1,1,1
6188,657,LOC102036126,0,21,3.4,6.6,6.6,0.00,0.00,yes,1,1,1
7152,656,LOC102042286,196,22,6.8,-3.1,3.1,0.00,0.02,yes,2,1,1
8568,628,LOC115948522,33685,433,14.1,-6.3,6.3,0.00,0.00,yes,2,1,1
14790,621,TRABD2A,1,44,4.5,5.9,5.9,0.00,0.00,yes,1,1,1
6449,607,LOC102037801,16,0,3.0,-6.1,6.1,0.00,0.00,yes,1,1,1
2273,602,CTHRC1,0,10,2.3,6.0,6.0,0.00,0.01,yes,1,1,1
6130,601,LOC102035828,16,0,3.0,-6.0,6.0,0.00,0.01,yes,1,1,1
14033,591,SUSD2,0,10,2.3,5.9,5.9,0.00,0.00,yes,1,1,1
11262,586,PDZD7,15,845,8.7,5.9,5.9,0.00,0.00,yes,2,1,1
6627,586,LOC102038924,124,2,6.0,-5.9,5.9,0.00,0.00,yes,1,1,1
3422,585,FAM169A,384,7,7.6,-5.8,5.8,0.00,0.00,yes,1,1,1
5995,579,LOC102034805,2012,37,10.0,-5.8,5.8,0.00,0.00,yes,2,1,1
6061,576,LOC102035260,0,12,2.6,5.8,5.8,0.00,0.00,yes,1,1,1
5386,574,LDHD,24,0,3.6,-5.3,5.3,0.00,0.00,yes,1,1,1
140,571,ACSL3,365,7,7.5,-5.7,5.7,0.00,0.00,yes,1,1,1
9711,566,MARCHF3,24,0,3.6,-5.7,5.7,0.00,0.00,yes,1,1,1
14499,565,TMEM120B,59,4,5.0,-3.7,3.7,0.00,0.01,yes,1,1,1
4272,545,GRK5,11,0,2.5,-5.5,5.5,0.00,0.00,yes,1,1,1
3752,544,FRMD3,0,14,2.8,5.4,5.4,0.00,0.00,yes,1,1,1
6314,542,LOC102036895,10,0,2.3,-5.4,5.4,0.00,0.01,yes,1,1,1
5611,537,LOC102032275,1,55,4.8,5.4,5.4,0.00,0.00,yes,1,1,1
3227,537,EPSTI1,2286,55,10.2,-5.4,5.4,0.00,0.00,yes,2,1,1
4596,537,HRH1,10,0,2.3,-5.4,5.4,0.00,0.00,yes,1,1,1
3682,532,FLT1,56,2,4.9,-4.7,4.7,0.00,0.00,yes,1,1,1
5824,528,LOC102033658,48,1,4.6,-5.3,5.3,0.00,0.02,yes,1,1,1
8373,526,LOC115948281,200,5,6.7,-5.3,5.3,0.00,0.00,yes,1,1,1
5022,517,KATNAL2,0,11,2.5,5.2,5.2,0.00,0.00,yes,1,1,1
2403,516,CUNH3orf52,12,0,2.6,-5.2,5.2,0.00,0.00,yes,1,1,1
2535,506,DCP1B,213,12,6.8,-4.1,4.1,0.00,0.00,yes,2,1,1
13242,501,SLC16A4,1,10,2.5,3.8,3.8,0.01,0.04,yes,1,1,1
