Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
15,112,AASDH,35,16,4.7,1.1,1.1,0.01,0.04,yes,2,1,1
25,181,ABCA3,1386,4857,11.6,-1.8,1.8,0,0,yes,2,1,1
29,167,ABCB1,24,54,5.3,-1.2,1.2,0.01,0.04,yes,2,1,1
44,114,ABCD2,915,416,9.4,1.1,1.1,0,0,yes,2,1,1
64,133,ABHD18,228,91,7.3,1.3,1.3,0,0,yes,2,1,1
65,102,ABHD2,3973,1964,11.5,1,1,0,0,yes,2,1,1
98,383,ACAN,1,13,2.8,-3.8,3.8,0,0,yes,1,1,1
102,215,ACAT2,86,19,5.7,2.2,2.2,0,0,yes,2,1,1
111,118,ACER2,148,65,6.7,1.2,1.2,0,0,yes,2,1,1
116,162,ACLY,1028,373,9.5,1.5,1.5,0,0,yes,2,1,1
128,116,ACOX2,15,34,4.6,-1.2,1.2,0.01,0.04,yes,2,1,1
135,152,ACSBG1,115,41,6.3,1.5,1.5,0,0,yes,2,1,1
136,117,ACSBG2,136,306,7.8,-1.2,1.2,0,0.03,yes,2,1,1
139,134,ACSL1,25,62,5.4,-1.3,1.3,0,0,yes,2,1,1
140,571,ACSL3,12,333,7.4,-4.8,4.8,0,0,yes,2,1,1
145,119,ACSS2,141,284,7.7,-1,1,0,0.02,yes,2,1,1
148,273,ACTA2,25,54,5.3,-1.1,1.1,0.01,0.04,yes,2,1,1
185,216,ADAMTS10,3,10,2.7,-1.7,1.7,0,0.03,yes,1,1,1
222,129,ADD3,354,711,9.1,-1,1,0.01,0.04,yes,2,1,1
240,176,ADH5,349,103,7.8,1.8,1.8,0,0,yes,2,1,1
255,134,ADPRH,167,423,8.2,-1.3,1.3,0,0,yes,2,1,1
256,123,ADPRHL1,24,50,5.2,-1.1,1.1,0,0.01,yes,2,1,1
308,164,AGTPBP1,105,33,6.1,1.6,1.6,0,0,yes,2,1,1
309,232,AGTR2,40,132,6.4,-1.7,1.7,0,0.01,yes,2,1,1
314,125,AHCY,44,105,6.2,-1.2,1.2,0,0,yes,2,1,1
317,186,AHDC1,6,23,3.9,-1.9,1.9,0,0.01,yes,1,1,1
323,118,AHSA2P,3176,1406,11.2,1.2,1.2,0,0,yes,2,1,1
330,401,AIFM3,5,47,4.7,-3.1,3.1,0,0.01,yes,1,1,1
337,126,AK1,33,78,5.8,-1.3,1.3,0,0.01,yes,2,1,1
369,105,ALAS1,26,53,5.3,-1.1,1.1,0,0.01,yes,2,1,1
377,137,ALDH5A1,63,24,5.4,1.4,1.4,0,0.01,yes,2,1,1
403,190,ALOX5,13,49,5,-1.9,1.9,0,0,yes,2,1,1
405,176,ALPK1,85,28,5.8,1.6,1.6,0,0.02,yes,2,1,1
430,131,AMN1,1270,2811,11,-1.1,1.1,0,0,yes,2,1,1
451,205,ANGPT1,5,18,3.5,-2,2,0,0,yes,1,1,1
460,149,ANHX,8,23,4,-1.5,1.5,0,0.01,yes,1,1,1
491,401,ANKRD31,6,19,3.6,-1.6,1.6,0,0.01,yes,1,1,1
501,183,ANKRD50,76,21,5.6,1.8,1.8,0,0,yes,2,1,1
518,189,ANO4,10,3,2.7,1.7,1.7,0,0.02,yes,1,1,1
532,734,ANXA10,57,420,7.9,-2.9,2.9,0,0.03,yes,2,1,1
536,113,ANXA4,5120,2455,11.9,1.1,1.1,0,0,yes,2,1,1
539,148,ANXA7,79,28,5.7,1.5,1.5,0,0,yes,2,1,1
580,114,APIP,433,953,9.4,-1.1,1.1,0,0,yes,2,1,1
583,261,APMAP,16,41,4.8,-1.4,1.4,0,0.02,yes,2,1,1
588,181,APOLD1,80,26,5.7,1.6,1.6,0,0,yes,2,1,1
590,140,APOOL,152,57,6.7,1.4,1.4,0,0,yes,2,1,1
614,121,ARF3,45,99,6.2,-1.2,1.2,0,0.03,yes,2,1,1
659,152,ARHGDIG,27,55,5.4,-1,1,0,0.03,yes,2,1,1
660,180,ARHGEF10,57,16,5.2,1.8,1.8,0,0,yes,2,1,1
663,146,ARHGEF16,6,17,3.5,-1.5,1.5,0,0.03,yes,1,1,1
672,302,ARHGEF38,79,10,5.5,3,3,0,0,yes,2,1,1
673,133,ARHGEF39,5164,2056,11.8,1.3,1.3,0,0,yes,2,1,1
678,115,ARHGEF9,96,45,6.1,1.1,1.1,0.01,0.05,yes,2,1,1
730,119,ARPC4,1832,4167,11.6,-1.2,1.2,0,0,yes,2,1,1
735,123,ARRDC1,40,81,5.9,-1,1,0,0.01,yes,2,1,1
771,116,ASCC3,497,222,8.5,1.2,1.2,0,0,yes,2,1,1
782,148,ASMT,38,107,6.2,-1.5,1.5,0,0,yes,2,1,1
823,108,ATG4C,1307,618,9.9,1.1,1.1,0,0,yes,2,1,1
835,201,ATP10A,15,43,4.9,-1.6,1.6,0,0.01,yes,2,1,1
846,151,ATP1A1,225,563,8.6,-1.3,1.3,0,0,yes,2,1,1
855,149,ATP2B4,310,684,9,-1.1,1.1,0,0.03,yes,2,1,1
920,138,AUH,26,52,5.3,-1,1,0,0.01,yes,2,1,1
934,169,B3GALNT1,23,63,5.4,-1.5,1.5,0,0,yes,2,1,1
944,180,B3GNT5,345,99,7.8,1.8,1.8,0,0,yes,2,1,1
950,174,B4GALT1,110,307,7.7,-1.5,1.5,0,0,yes,2,1,1
954,143,B4GALT5,32,86,5.9,-1.4,1.4,0,0.01,yes,2,1,1
957,189,B9D1,3,13,3,-1.9,1.9,0,0.01,yes,1,1,1
974,220,BAK1,8,24,4,-1.5,1.5,0,0.03,yes,1,1,1
975,163,BAMBI,2380,767,10.6,1.6,1.6,0,0,yes,2,1,1
977,258,BANK1,65,189,7,-1.5,1.5,0,0.02,yes,2,1,1
984,152,BASP1,240,689,8.9,-1.5,1.5,0,0,yes,2,1,1
991,412,BBOX1,29,2,4,4.1,4.1,0,0,yes,1,1,1
1001,269,BCAR1,225,75,7.2,1.6,1.6,0,0,yes,2,1,1
1002,207,BCAR3,38,9,4.6,2.1,2.1,0,0,yes,1,1,1
1007,143,BCCIP,83,186,7.1,-1.2,1.2,0,0,yes,2,1,1
1027,374,BCO2,59,10,5.1,2.5,2.5,0,0,yes,2,1,1
1073,161,BLNK,48,137,6.5,-1.5,1.5,0,0.02,yes,2,1,1
1112,135,BORCS7,57,147,6.7,-1.3,1.3,0,0,yes,2,1,1
1114,133,BPGM,162,79,6.9,1,1,0,0.02,yes,2,1,1
1124,194,BRCA1,1753,624,10.2,1.5,1.5,0,0,yes,2,1,1
1143,129,BRMS1L,1383,625,10,1.1,1.1,0,0,yes,2,1,1
1206,168,C2CD3,987,307,9.3,1.7,1.7,0,0,yes,2,1,1
1216,208,C9orf72,276,1061,9.4,-1.9,1.9,0,0,yes,2,1,1
1230,160,CABLES1,3,11,2.8,-1.6,1.6,0,0.01,yes,1,1,1
1285,129,CAMK2D,87,175,7,-1,1,0,0.01,yes,2,1,1
1289,152,CAMKK2,82,195,7.1,-1.3,1.3,0,0.01,yes,2,1,1
1357,236,CAVIN2,31,67,5.6,-1.1,1.1,0,0.01,yes,2,1,1
1379,111,CC2D1B,1794,831,10.4,1.1,1.1,0,0,yes,2,1,1
1383,115,CCDC102A,8,19,3.8,-1.2,1.2,0.01,0.05,yes,1,1,1
1394,175,CCDC126,1428,473,9.9,1.6,1.6,0,0,yes,2,1,1
1404,310,CCDC15,17,38,4.8,-1.2,1.2,0,0.03,yes,2,1,1
1406,170,CCDC157,434,201,8.3,1.1,1.1,0,0.01,yes,2,1,1
1424,137,CCDC27,14,6,3.3,1.3,1.3,0.01,0.05,yes,1,1,1
1438,208,CCDC57,302,72,7.5,2.1,2.1,0,0,yes,2,1,1
1446,428,CCDC66,14,277,7.2,-4.3,4.3,0,0,yes,2,1,1
1447,153,CCDC69,24,61,5.4,-1.4,1.4,0.01,0.04,yes,2,1,1
1455,164,CCDC84,1035,413,9.5,1.3,1.3,0,0,yes,2,1,1
1478,175,CCNA2,7,21,3.8,-1.6,1.6,0.01,0.05,yes,1,1,1
1489,276,CCNG1,3761,554,11.1,2.8,2.8,0,0,yes,2,1,1
1509,167,CCSER2,19,44,5,-1.2,1.2,0.01,0.04,yes,2,1,1
1514,127,CCT6A,2149,894,10.6,1.3,1.3,0,0,yes,2,1,1
1519,280,CD109,4,32,4.2,-2.8,2.8,0,0,yes,1,1,1
1521,103,CD151,558,1139,9.7,-1,1,0,0,yes,2,1,1
1528,103,CD28,35,72,5.7,-1,1,0.01,0.04,yes,2,1,1
1532,128,CD4,60,142,6.7,-1.2,1.2,0.01,0.04,yes,2,1,1
