Order,Page ,Date ,Location,Species,Band#,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,POX
1,1,21-Jan-19,CDRS,FOR,SM1001,0,,U,0,,10.8,9.7,8.5,18.8,65,15.8,U
2,1,21-Jan-19,CDRS,CRA,SM1002,0,,U,0,,9.3,11.1,9.2,24.4,82,29.8,U
3,1,21-Jan-19,CDRS,CRA,SM1003,0,,F,0,,9.4,11.1,8.7,25,78.5,22.9,U
4,1,22-Jan-19,CDRS,FOR,JP4522,1,RSGG,M,1,,11.9,10.5,8.7,19.5,66,17.7,U
5,1,22-Jan-19,CDRS,FOR,SM1004,0,,U,1,,11.6,9.2,8.4,18.9,65,17.9,U
6,1,22-Jan-19,CDRS,FUL,SM001,0,,U,0,,8,7.1,7,19.9,58.5,13.1,U
7,1,22-Jan-19,CDRS,FUL,SM002,0,,U,0,,8.7,7.2,6.7,17.4,60,13.5,I
8,1,22-Jan-19,CDRS,FUL,SM003,0,,M,4,,7.6,7.2,7.4,17.4,63.4,14.3,U
9,1,22-Jan-19,CDRS,FUL,SM004,0,,M,5,,8.5,7.8,7.1,18.8,64,19.4,U
10,1,22-Jan-19,CDRS,FOR,SM1005,0,,U,0,,11.5,12.1,9.6,21,66.5,19.2,U
11,1,22-Jan-19,CDRS,FUL,SM005,0,,U,0,,7.7,7.1,6.8,17,58,12.2,U
12,1,22-Jan-19,CDRS,FOR,SM1006,0,,U,1,,12.7,13.7,11.4,22.3,72,27.6,I
13,2,22-Jan-19,CDRS,FOR,SM1007,0,,M,1,,9.5,8.4,7.9,21.4,63,15.9,U
14,2,22-Jan-19,CDRS,CRA,SM1008,0,,M,5,,10.5,11.7,9.5,24.3,75,29.4,U
15,2,22-Jan-19,CDRS,FOR,SM1009,0,,U,0,,10.7,11,8.7,20.1,67.5,18.7,U
16,2,22-Jan-19,CDRS,FUL,SM006,0,,M,2,,8,7.5,7.2,17.8,61.5,13.7,U
17,2,22-Jan-19,CDRS,FOR,SM1010,0,,U,0,,13.4,13.4,12,24.6,73,26.4,U
18,2,22-Jan-19,CDRS,FOR,SM1011,0,,U,0,,13,13,11.3,22,71.5,24.5,U
19,2,22-Jan-19,CDRS,FOR,SM1012,0,,U,1,,12.2,12,10.1,22,65,21.8,U
20,2,22-Jan-19,CDRS,FOR,SM1013,0,,U,0,,10.6,10,8,19.3,64,18.2,U/I
