NR,ID,Order,Date,Island,Location,Site,Altitude,Docility,docility_time,docility_obs,Net Number,band,ColoRS RiGht,ColoRS Left,Species,Sex,age,Plum,BP.CP,Beak LengthA,Beak LengthB,Beak LengthC,Beak DepthA,Beak DepthB,Beak DepthC,Beak WidthA,Beak WidthB,Beak WidthC,Head Length,Head Depth,Head Width,Tarsus,Wing Chord,TipA,TipB,TipC,SideA,SideB,SideC,Mass,Blood,By?,Feces,Feces.Notes,Pox.Notes,Molting.Notes,temperature,Photo,Page_data_sheet,Notes,Meanbeaklength,Meanbeakdepth,Meanbeakwidth,Meantip,Meanside,Year,Logitud,Latitud,Recapture,Recapture.1,Recapture.2,Recapture.3,Extra.notes,DataSource,Sex0,Species1,Species0,MedianTip,MedianSide,Plum0,blackness,BANDER,BANDFINAL,CAPTURE,STATUS,sex,AdultMale,Species2,Head Length_correction_2018,MedianBeakLength,MedianBeakDepth,MedianBeakWidth,Blood samples location,Blood sample types,Position_storage,Comments,DNA extraction who,DNA extraction date,DNA extraction protocol,Notes,DNA.Box_location,Box.number,Nano.Quant,Pico.Green.ng.ul,Comment.Pico.Green,RAD.Library,Genomic.analysis,unique_ID,Importation_permit_number_CFIA,Other_projects,Original.sort
,12739,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF5949,,,parvulus,f,ad,,3,7.7,,,6.86,,,6.23,,,,,,,,,,,,,,12,n,MOB,,,,y,,n,1,,7.7,6.86,6.23,,,2019,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.86,6.23,,,,,,,,,,,,,,,,,,,
,12740,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,JP5699,,,crassirostris,f,ad,,2,10.41,,,11.12,,,9.65,,,,,,,,,,,,,,30.6,n,MOB,,,,,,n,1,,10.41,11.12,9.65,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.41,11.12,9.65,,,,,,,,,,,,,,,,,,,
,12741,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,RHC401,,,crassirostris,f,ad,,2,10.28,,,10.88,,,9.77,,,,,,,,,,,,,,31,y,MOB,,,,,,y,1,,10.28,10.88,9.77,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.28,10.88,9.77,RM (2019 Binder),BC,Binder_2019_P09,,,,,,,,,,,,,,,,
,12742,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF5950,,,parvulus,f,ad,,2,8.28,,,7.38,,,6.68,,,,,,,,,,,,,,13.3,y,MOB,,,,,,y,1,,8.28,7.38,6.68,,,2019,,,,,,,,,,,,,,,,,,,,,,,,8.28,7.38,6.68,RM (2019 Binder),BC,Binder_2019_P54,,,,,,,,,,,,,,,,
,12743,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0176,,,scandens,f,ad,,3,13.92,,,8.54,,,8.08,,,,,,,,,,,,,,22.9,y,MOB,,,,y,,y,1,,13.92,8.54,8.08,,,2019,,,,,,,,,,,,,,,,,,,,,,,,13.92,8.54,8.08,RM (2019 Binder),BC,Binder_2019_P55,,,,,,,,,,,,,,,,
,12744,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0161,,,crassirostris,f,ad,,3,10.6,,,11.39,,,9.61,,,,,,,,,,,,,,28.8,y,MOB,,,,,,y,1,,10.6,11.39,9.61,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.39,9.61,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12745,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0162,,,crassirostris,f,ad,,1,9.95,,,10.44,,,9.56,,,,,,,,,,,,,,28.2,y,MOB,,,,,,y,1,Claw missing,9.95,10.44,9.56,,,2019,,,,,,,,,,,,,,,,,,,,,,,,9.95,10.44,9.56,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12746,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0163,,,crassirostris,f,ad,,2,10.93,,,10.97,,,9.97,,,,,,,,,,,,,,29.4,y,MOB,,,,y,,y,1,Claw missing L1,10.93,10.97,9.97,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.93,10.97,9.97,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12747,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0164,,,crassirostris,f,ad,,1,10.49,,,11.13,,,9.66,,,,,,,,,,,,,,30.1,y,MOB,,,,,,y,1,Toe missing R2,10.49,11.13,9.66,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.49,11.13,9.66,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12748,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,RHC398,,,crassirostris,f,ad,,1,11.53,,,11.26,,,10.11,,,,,,26.43,,,,,,,,31.3,y,MOB,,,,y,,y,1,,11.53,11.26,10.11,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.53,11.26,10.11,RM (2019 Binder),BC,Binder_2019_P09,,,,,,,,,,,,,,,,
