Order,Page ,Date ,island,Location,Species,band,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,Nest ID ,Parent,Blood,Plasma,Slide ,Sperm,Park Blood,Trizol Blood,Molt,POX,HCT 1 ,HCT 2 ,HMCT %,Notes
1,1,1/20/2015,santa cruz,Shire,GAMO,DC442,1,RORS,F,,BP4,14.54,,,31.57,102.5,42.9,108,1,1,1,1,0,0,0,0,I,28.52,64.970,0.438971833,"Pox left eye, hole through nares, replaced red bands"
2,1,1/21/2016,santa cruz,Riv,GAMO,DC610,0,OSRGy,M,,BP0/CP0,15.50,,,36.04,108.5,46.0,117,0,1,1,1,0,1,0,0,,24.17,56.210,0.429994663,
3,1,1/21/2016,santa cruz,Riv,GAMO,DC583,1,RYSGy,U,,BP0/CP0,15.61,,,36.61,105.5,46.6,117,0,1,1,1,0,1,0,0,,25.75,59.890,0.45810354,Recap 117.2 2015
4,1,1/21/2016,santa cruz,Riv,GAMO,DC447,1,BkBkGS,M,,BP0/CP2,14.95,,,35.24,110.0,48.7,2,1,1,1,1,0,1,0,0,U,26.30,59.170,0.43913842,recap
5,1,1/21/2016,santa cruz,Riv,GAMO,DC637,0,GSBlW,M,,BP0/CP1,15.32,,,35.54,108.5,43.9,117,1,1,1,1,0,1,0,0,U,28.15,63.690,0.475747845,Probably dad 177
6,1,1/21/2016,santa cruz,Riv,FOR,RW,1,RW,M,4,BP0/CP0,13.65,14.73,11.87,23.25,72.0,23.0,,,0,0,0,0,1,0,0,I,28.00,63.890,0.439629455,"Missing right leg from arsus down and left hallux, color bands on left, pox on left "
7,1,1/21/2016,santa cruz,Riv,PAR,SH700,0,,U,,BP0/CP0,7.30,6.86,6.32,21.30,63.0,23.4,,,0,0,0,0,1,0,0,,,,0,
8,1,1/21/2016,santa cruz,Riv,FUL,JP9048,1,SxGBk,M,3,BP2,8.44,7.83,7.10,20.47,61.5,13.3,,,1,1,0,0,1,0,0,I,,,#DIV/0!,pox left foot
9,1,1/21/2016,santa cruz,Helm's deep,GAMO,DC043,1,GBlYS,M,,CP2,15.95,,,34.84,110.5,42.3,107,1,1,1,1,0,1,0,0,U,28.12,65.820,0.427225767,
10,1,1/21/2016,santa cruz,Helm's deep,GAMO,DC638,0,BkSGyR,F,,BP3,15.71,,,35.85,100.0,43.2,107,1,1,1,0,0,1,0,0,U,20.74,52.470,0.39527349,
11,1,1/21/2016,santa cruz,Helm's deep,GAMO,DC445,1,WSBlBk,F,,BP4,15.33,,,31.06,100.0,43.0,140,1,1,1,1,0,1,0,0,U,21.17,55.300,0.382820976,
12,1,1/21/2016,santa cruz,Helm's deep,GAMO,DC639,0,RROS,M,,CP1,15.22,,,35.93,107.5,47.6,140,1,1,1,1,0,1,0,0,U,,,0.413,oddly heavy
13,2,1/22/2016,santa cruz,Helm's deep,GAMO,DC629,1,BkGySY,F,,BP4,16.57,,,33.47,102.0,45.8,105,1,1,1,0,0,1,0,0,U,,,#DIV/0!,hct not measured
14,2,1/22/2016,santa cruz,Helm's deep,GAMO,DC630,1,BkSGO,M,,CP1,17.11,,,36.64,15.5,47.5,105,1,1,1,0,0,1,0,0,U,25.40,62.390,0.407116525,
15,2,1/22/2016,santa cruz,Helm's deep,GAMO,DC640,0,WSWBl,F,,BP5,14.22,,,31.74,99.5,39.8,92,1,1,1,1,0,1,0,0,U,29.01,67.360,0.430671021,
16,2,1/23/2016,santa cruz,UR,GAMO,DC423,0,GBlSBl,M,,CP0,16.11,,,34.45,107.5,48.0,89,0,1,1,1,0,1,1,0,I,,,#DIV/0!,"89-1 2015 recap, pox on foot"
17,2,1/23/2016,santa cruz,UR,GAMO,DC458,1,BkSWW,M,,CP2,16.15,,,35.03,117.0,46.6,89,1,1,1,1,0,1,0,0,U,25.53,56.590,0.451139777,parent at 89
18,2,1/23/2016,santa cruz,UR,GAMO,DC641,0,GSGyW,F,,BP4,14.65,,,23.22,99.5,45.2,89,1,1,1,1,0,1,0,0,U,26.61,63.690,0.417804993,
19,2,1/23/2016,santa cruz,UR,SCA,JP4930,1,BrSWBl,M,5,CP2,14.90,9.09,8.35,23.86,70.0,21.3,,,1,1,0,0,1,0,0,,30.77,59.170,0.520027041,
20,2,1/23/2016,santa cruz,UR,MAG,SH1201,0,,M,5,CP1,14.62,17.18,14.20,35.53,78.5,32.8,,,1,1,0,0,1,0,0,I,33.19,69.980,0.474278365,pox
21,2,1/23/2016,santa cruz,TT,GAMO,DC062,1,SRGGy,F,,BP5,15.10,,,35.07,103.0,43.1,74,1,1,1,1,0,1,0,0,U,21.40,51.980,0.411696806,mom at 74
22,2,1/23/2016,santa cruz,TT,GAMO,DC603,1,BkWSBk,M,,CP3,15.74,,,33.77,103.0,37.3,74,0,1,1,1,0,1,1,0,,,,#DIV/0!,2015 nestling blue eyes
23,2,1/23/2016,santa cruz,TT,GAMO,DC478,1,BkSBlBk,M,,CP3,14.93,,,,104.5,47.4,74,1,1,1,1,0,1,0,0,U,22.96,51.640,0.444616576,dad at 74
24,3,1/24/2016,santa cruz,Shire ,GAMO,DC558,1,BlBkSBl,M,,CP2,16.17,,,36.31,112.0,47.9,128,1,1,1,1,0,1,0,0,U,,,,
25,3,1/26/2016,santa cruz,Gondor,CRA,SH1202,0,,M,,,10.76,11.75,9.96,27.03,85.0,35.5,25,,1,1,0,0,1,0,0,,33.40,67.330,0.496064162,
