"","x"
"1","ABLIM2"
"2","ACBD4"
"3","ACSBG2"
"4","ADAM19"
"5","ADAM22"
"6","ADAM23"
"7","ADAMTS9"
"8","ADPRH"
"9","ALOX5"
"10","ANGPT1"
"11","ANKRD22"
"12","AP5M1"
"13","APOH"
"14","ARAP3"
"15","ARHGEF9"
"16","ARID3C"
"17","ARID5B"
"18","ARSJ"
"19","ARTN"
"20","ATP1B1"
"21","ATP2A2"
"22","BASP1"
"23","BGLAP"
"24","C8G"
"25","CALML4"
"26","CASS4"
"27","CBFA2T2"
"28","CCDC102A"
"29","CCDC122"
"30","CCNG1"
"31","CD44"
"32","CD86"
"33","CD9"
"34","CERS1"
"35","CFAP221"
"36","CHST13"
"37","CLBA1"
"38","CLCN7"
"39","CLN5"
"40","CNR2"
"41","CNRIP1"
"42","COG5"
"43","COL4A2"
"44","COPS7B"
"45","CP"
"46","CPED1"
"47","CRISPLD2"
"48","CSF2RB"
"49","CTBP2"
"50","CUNH12orf50"
"51","CUNH17orf58"
"52","CUNH19orf12"
"53","CUNH1orf198"
"54","CXCL12"
"55","CYFIP1"
"56","DAPP1"
"57","DENND2A"
"58","DENND3"
"59","DEPDC7"
"60","DHX15"
"61","DLAT"
"62","DZIP1"
"63","EFCAB5"
"64","EFCAB7"
"65","ELK3"
"66","EMCN"
"67","EPHB6"
"68","ERC2"
"69","ERG"
"70","ESPN"
"71","ETNK1"
"72","ETS2"
"73","ETV1"
"74","EVI2A"
"75","EXPH5"
"76","F2RL3"
"77","FA2H"
"78","FAAP100"
"79","FAM13A"
"80","FAM174A"
"81","FBXO2"
"82","FCHSD2"
"83","FERMT2"
"84","FNBP1L"
"85","FNDC3B"
"86","FOXO1"
"87","FRY"
"88","FZD3"
"89","GAB2"
"90","GALNT16"
"91","GAS2L3"
"92","GDPD5"
"93","GJA10"
"94","GOLIM4"
"95","GORASP1"
"96","GP9"
"97","GPR34"
"98","GSTZ1"
"99","GTF2IRD1"
"100","GUK1"
"101","H6PD"
"102","HACD4"
"103","HCK"
"104","HHIPL1"
"105","HIF1A"
"106","HLX"
"107","HS6ST3"
"108","IGF1R"
"109","IL17RA"
"110","IL18RAP"
"111","IPPK"
"112","ITGA2B"
"113","ITGB2"
"114","ITPR1"
"115","KLF15"
"116","KLF6"
"117","KSR1"
"118","LARP7"
"119","LCP2"
"120","LDLRAD3"
"121","LEKR1"
"122","LGALSL"
"123","LOC102031757"
"124","LOC102031974"
"125","LOC102032370"
"126","LOC102032374"
"127","LOC102032481"
"128","LOC102032537"
"129","LOC102032670"
"130","LOC102032821"
"131","LOC102032827"
"132","LOC102032929"
"133","LOC102033574"
"134","LOC102034202"
"135","LOC102034485"
"136","LOC102034562"
"137","LOC102034609"
"138","LOC102034620"
"139","LOC102034831"
"140","LOC102034842"
"141","LOC102034929"
"142","LOC102035028"
"143","LOC102035288"
"144","LOC102035487"
