"","x"
"1","ALAD"
"2","ALPK2"
"3","ANKRD31"
"4","ATG13"
"5","BLOC1S6"
"6","CCDC77"
"7","CEP70"
"8","CFLAR"
"9","CILK1"
"10","CLDN12"
"11","CR1"
"12","CST3"
"13","CUNH6orf62"
"14","CZIB"
"15","DCP2"
"16","FAM126B"
"17","FARS2"
"18","FBXL5"
"19","FNTA"
"20","GATAD1"
"21","GFRA1"
"22","GLS"
"23","GPBP1"
"24","HP1BP3"
"25","IPP"
"26","KLF15"
"27","LOC102031685"
"28","LOC102032577"
"29","LOC102033213"
"30","LOC102033264"
"31","LOC102036951"
"32","LOC102037444"
"33","LOC102037540"
"34","LOC102037846"
"35","LOC102041050"
"36","LOC102041328"
"37","LOC102044945"
"38","LOC106632182"
"39","LOC106632254"
"40","LOC115947809"
"41","LOC115948442"
"42","LOC115948454"
"43","LRRC1"
"44","MAGOH"
"45","MANBA"
"46","MICU1"
"47","MRPL20"
"48","MRPS10"
"49","MTCL1"
"50","NDUFV2"
"51","OFD1"
"52","PRLHR"
"53","PSEN1"
"54","RAB33B"
"55","RAB5A"
"56","RNF144A"
"57","SHLD3"
"58","SLC23A2"
"59","SNX25"
"60","TFAP4"
"61","TIGAR"
"62","TM9SF2"
"63","TNIP1"
"64","TNKS1BP1"
"65","TRMT11"
"66","TSTD2"
"67","UBE3D"
"68","UNC50"
"69","WDR26"
"70","WTAP"
"71","ZCCHC9"
"72","ZNF131"
