"","x"
"1","AADAT"
"2","AAGAB"
"3","AAMP"
"4","AANAT"
"5","ABCA12"
"6","ABCB11"
"7","ABCB6"
"8","ABCD2"
"9","ABCG5"
"10","ABHD11"
"11","ABHD12"
"12","ABHD12B"
"13","ABHD3"
"14","ABL2"
"15","ABR"
"16","ACAD10"
"17","ACAD11"
"18","ACBD4"
"19","ACER3"
"20","ACO1"
"21","ACOD1"
"22","ACOX2"
"23","ACP2"
"24","ACSBG2"
"25","ACSF2"
"26","ACSS2"
"27","ACSS3"
"28","ACTA1"
"29","ACTR2"
"30","ACVRL1"
"31","ADA2"
"32","ADAM11"
"33","ADAM19"
"34","ADAM23"
"35","ADAMTS17"
"36","ADAP1"
"37","ADCY2"
"38","ADGRG2"
"39","ADGRG6"
"40","ADH5"
"41","ADIPOQ"
"42","ADIPOR1"
"43","ADM"
"44","ADPRH"
"45","ADPRHL1"
"46","AGA"
"47","AGAP3"
"48","AGBL5"
"49","AGMAT"
"50","AGPAT2"
"51","AGT"
"52","AGTR2"
"53","AGTRAP"
"54","AHI1"
"55","AHR"
"56","AIF1L"
"57","AIMP1"
"58","AK6"
"59","AK8"
"60","AKAP11"
"61","AKAP6"
"62","AKAP7"
"63","AKIP1"
"64","AKNAD1"
"65","AKT3"
"66","ALDH1A2"
"67","ALG2"
"68","ALG8"
"69","ALG9"
"70","ALOX5AP"
"71","ALS2CL"
"72","AMER1"
"73","AMIGO2"
"74","AMOT"
"75","ANAPC5"
"76","ANGPT1"
"77","ANKRD22"
"78","ANO10"
"79","ANTXR2"
"80","ANXA1"
"81","ANXA2"
"82","ANXA5"
"83","ANXA7"
"84","AOAH"
"85","AP1M1"
"86","AP3M2"
"87","AP4B1"
"88","AP5M1"
"89","APBB2"
"90","APC2"
"91","APLP2"
"92","APOLD1"
"93","ARG2"
"94","ARHGAP10"
"95","ARHGAP12"
"96","ARHGAP18"
"97","ARHGAP20"
"98","ARHGAP6"
"99","ARHGDIG"
"100","ARHGEF10L"
"101","ARHGEF17"
"102","ARHGEF26"
"103","ARHGEF3"
"104","ARHGEF5"
"105","ARID5B"
"106","ARL11"
"107","ARL2BP"
"108","ARL4C"
"109","ARL6"
"110","ARL8A"
"111","ARMC6"
"112","ARMH1"
"113","ARPC3"
"114","ARPC5"
"115","ARSB"
"116","ARVCF"
"117","ASAH1"
"118","ASAH2"
"119","ASAP2"
"120","ASAP3"
"121","ASDURF"
"122","ASMT"
"123","ASS1"
"124","ATF3"
"125","ATG4A"
"126","ATP10A"
"127","ATP10D"
"128","ATP1B1"
"129","ATP23"
"130","ATP2A2"
"131","ATP5F1B"
"132","ATP5PB"
"133","ATP6AP1"
"134","ATP6V0D2"
"135","ATP6V1C2"
"136","ATP6V1G3"
"137","ATP7A"
"138","ATRN"
"139","ATRX"
"140","ATXN1L"
"141","AUTS2"
"142","AVL9"
"143","AZIN2"
"144","B3GLCT"
"145","B3GNT9"
"146","B4GALNT4"
"147","B4GALT5"
"148","BACE2"
"149","BAG3"
"150","BAIAP2L2"
"151","BASP1"
"152","BATF3"
"153","BCAT1"
"154","BCL2L14"
"155","BDH2"
"156","BECN1"
"157","BEND4"
