Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mIFOR,avg mICRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9888,0,MEX3C,mRNA,NW_005054986.1:5120-16711,-,+,1,1,0,-0.076,0.076,0.947066039,0.971136435,no,0,0,0
9168,0,LOC115949298,lnc_RNA,NW_005055489.1:1907-4305,+,+,0,0,-3.321928095,0,0,0.391196737,0.581203815,no,0,0,0
5912,0,LOC102034259,mRNA,NW_005055075.1:2278-22247,+,+,2,0,0,-2.244,2.244,0.096634892,0.237410169,no,0,1,0
7198,1,LOC102042666,mRNA,NW_005054753.1:45733-94880,-,+,0,1,-1,0.523,0.523,0.637190961,0.777563261,no,0,0,0
14236,-559,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,116,2,5.882643049,-5.588,5.588,2.7202E-07,1.57013E-05,yes,1,1,1
5759,132,LOC102033243,mRNA,NW_005055240.1:12234-14135,-,+,1,3,1,1.321,1.321,0.184487583,0.360214332,no,0,1,0
9058,1,LOC115949173,mRNA,NW_005054917.1:20816-35469,+,+,0,1,-1,1.462,1.462,0.201761736,0.382738411,no,0,1,0
9033,0,LOC115949146,lnc_RNA,NW_005054811.1:15759-18791,-,+,0,0,-3.321928095,0,0,0.369886703,0.561352517,no,0,0,0
5740,-18,LOC102033082,mRNA,NW_005055064.1:3313-25773,-,+,2,1,0.584962501,-0.18,0.18,0.805450939,0.888400916,no,0,0,0
6085,65,LOC102035429,mRNA,NW_005056048.1:15-4648,+,+,4,7,2.459431619,0.651,0.651,0.2710959,0.462918131,no,0,0,0
9067,1,LOC115949182,mRNA,NW_005054952.1:16290-19277,+,+,1,1,0,0.688,0.688,0.494661289,0.669096826,no,0,0,0
6886,0,LOC102040475,mRNA,NW_005054980.1:6-1275,+,+,1,1,0,0.117,0.117,0.917930639,0.954915107,no,0,0,0
6961,44,LOC102040865,mRNA,NW_005054728.1:23238-99448,+,+,5,6,2.459431619,0.441,0.441,0.5520834,0.713181978,no,0,0,0
6730,11,LOC102039568,mRNA,NW_005054871.1:7-40947,-,+,2,2,1,0.113,0.113,0.900284827,0.944744308,no,0,0,0
5911,-5,LOC102034258,mRNA,NW_005054928.1:10191-32623,+,+,5,4,2.169925001,-0.049,0.049,0.951242738,0.973375975,no,0,0,0
6393,0,LOC102037414,mRNA,NW_005054952.1:12034-15982,+,+,0,0,-3.321928095,0,0,0.773637129,0.868388559,no,0,0,0
7687,37,LOC102045663,mRNA,NW_005054843.1:47442-52271,-,+,2,2,1,0.366,0.366,0.713145464,0.833530416,no,0,0,0
6860,-50,LOC102040300,lnc_RNA,NW_005055144.1:7984-10673,+,+,5,4,2.169925001,-0.495,0.495,0.554169132,0.714875552,no,0,0,0
8970,22,LOC115949048,lnc_RNA,NW_005054723.1:58652-60888,-,+,3,3,1.584962501,0.218,0.218,0.700454574,0.825609427,no,0,0,0
5677,-12,LOC102032750,mRNA,NW_005054790.1:23357-68687,-,+,6,5,2.459431619,-0.117,0.117,0.83886977,0.909800139,no,0,0,0
6320,58,LOC102036912,mRNA,NW_005054948.1:5702-27746,-,+,6,9,2.906890596,0.578,0.578,0.450187681,0.632232226,no,0,0,0
6121,0,LOC102035768,mRNA,NW_005054803.1:3983-31307,-,+,1,1,0,-0.459,0.459,0.632909129,0.774824819,no,0,0,0
5570,-1,LOC102031921,transcript,NW_005054911.1:812-30476,+,+,1,1,0,-0.549,0.549,0.637158458,0.777563261,no,0,0,0
6996,30,LOC102041079,mRNA,NW_005054775.1:65365-88786,-,+,6,8,2.807354922,0.302,0.302,0.687024403,0.814824002,no,0,0,0
7188,-7,LOC102042603,mRNA,NW_005055013.1:9806-28556,-,+,2,2,1,-0.07,0.07,0.918588293,0.955185436,no,0,0,0
13519,27,SMAD4,mRNA,NW_005054832.1:12717-32594,+,+,9,11,3.321928095,0.272,0.272,0.6637647,0.797893997,no,1,0,0
9065,0,LOC115949180,mRNA,NW_005054946.1:19550-35531,+,+,0,0,-3.321928095,0,0,1,1,no,0,0,0
7215,7,LOC102042766,mRNA,NW_005054779.1:4990-58613,-,+,3,4,1.807354922,0.074,0.074,0.893621796,0.940877251,no,0,0,0
7334,0,LOC102043511,mRNA,NW_005054830.1:15236-56060,-,+,1,0,-1,-1.11,1.11,0.273548902,0.465980152,no,0,1,0
8965,870,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,0,93,5.539158811,8.697,8.697,7.58671E-20,8.28054E-17,yes,1,1,1
9088,0,LOC115949206,lnc_RNA,NW_005055056.1:7164-19942,-,+,0,0,-3.321928095,0,0,0.624698681,0.768534929,no,0,0,0
5527,0,LOC102031646,mRNA,NW_005054844.1:20355-41810,-,+,1,1,0,-0.064,0.064,0.940630109,0.968116028,no,0,0,0
9066,0,LOC115949181,mRNA,NW_005054946.1:2836-17579,+,+,1,0,-1,-1.332,1.332,0.213694272,0.396923868,no,0,1,0
7637,0,LOC102045333,mRNA,NW_005054760.1:15727-101030,+,-,0,0,-3.321928095,0,0,0.923295195,0.957729201,no,0,0,0
6647,0,LOC102039047,mRNA,NW_005054701.1:12272-125227,-,-,0,0,-3.321928095,0,0,0.770058701,0.865748176,no,0,0,0
7568,0,LOC102044942,mRNA,NW_005055037.1:1538-24655,-,+,0,0,-3.321928095,0,0,0.978807584,0.988107614,no,0,0,0
7170,0,LOC102042439,mRNA,NW_005054890.1:7725-43823,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
7187,0,LOC102042602,mRNA,NW_005054895.1:13444-43576,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
12804,-711,S100B,mRNA,NW_005054501.1:1168571-1171030,-,-,24,0,3.584962501,-7.11,7.11,0.002528274,0.019736318,yes,1,1,1
9310,-779,LOC115949447,snoRNA,NW_005061490.1:320-453,-,-,54,0,4.754887502,-7.79,7.79,4.88133E-13,1.39536E-10,yes,1,1,1
7239,0,LOC102042934,mRNA,NW_005055016.1:5238-10398,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
9024,0,LOC115949136,lnc_RNA,NW_005054798.1:21238-73872,-,-,0,0,-3.321928095,0,0,0.780396073,0.87214328,no,0,0,0
7177,125,LOC102042499,mRNA,NW_005054752.1:17106-86099,-,+,1,2,0.584962501,1.245,1.245,0.109322785,0.258117867,no,0,1,0
5941,-14,LOC102034430,mRNA,NW_005054796.1:5162-10115,+,+,3,2,1.321928095,-0.137,0.137,0.838304399,0.909514063,no,0,0,0
5708,0,LOC102032917,mRNA,NW_005054918.1:35329-38920,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
