Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg fIFOR,avg fUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9888,-67.6,MEX3C,mRNA,NW_005054986.1:5120-16711,-,+,1207,1984,10.63979289,-0.717,0.717,0.50668792,1,no,2,0,0
9168,-1.317,LOC115949298,lnc_RNA,NW_005055489.1:1907-4305,+,+,155,168,7.335390355,-0.114,0.114,0.849653831,1,no,2,0,0
5912,-2.226,LOC102034259,mRNA,NW_005055075.1:2278-22247,+,+,300,323,8.283088353,-0.107,0.107,0.933820265,1,no,2,0,0
7198,0.23,LOC102042666,mRNA,NW_005054753.1:45733-94880,-,+,362,515,8.776433032,-0.507,0.507,0.205965217,0.965897549,no,2,0,0
14236,-102.2,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,84,0,5.392317423,8.971,8.971,5.57404E-07,0.0012196,yes,1,1,1
5759,44.5,LOC102033243,mRNA,NW_005055240.1:12234-14135,-,+,855,848,9.73386272,0.012,0.012,0.990674056,1,no,2,0,0
9058,0.01442,LOC115949173,mRNA,NW_005054917.1:20816-35469,+,+,158,150,7.266786541,0.075,0.075,0.85823833,1,no,2,0,0
9033,0,LOC115949146,lnc_RNA,NW_005054811.1:15759-18791,-,+,158,161,7.317412614,-0.034,0.034,0.941287077,1,no,2,0,0
5740,-43.3,LOC102033082,mRNA,NW_005055064.1:3313-25773,-,+,387,337,8.499845887,0.2,0.2,0.56860023,1,no,2,0,0
6085,30.8,LOC102035429,mRNA,NW_005056048.1:15-4648,+,+,2880,2950,11.50928017,-0.034,0.034,0.956988369,1,no,2,0,0
9067,-0.03,LOC115949182,mRNA,NW_005054952.1:16290-19277,+,+,372,341,8.477758266,0.131,0.131,0.80221426,1,no,2,0,0
6886,-0.513,LOC102040475,mRNA,NW_005054980.1:6-1275,+,+,560,516,9.071462363,0.117,0.117,0.909508058,1,no,2,0,0
6961,16.1,LOC102040865,mRNA,NW_005054728.1:23238-99448,+,+,3004,2780,11.49785184,0.112,0.112,0.897974999,1,no,2,0,0
6730,-17.7,LOC102039568,mRNA,NW_005054871.1:7-40947,-,+,1170,1297,10.268542,-0.148,0.148,0.873491925,1,no,2,0,0
5911,45.8,LOC102034258,mRNA,NW_005054928.1:10191-32623,+,+,2673,2324,11.2868465,0.202,0.202,0.827335538,1,no,2,0,0
6393,0,LOC102037414,mRNA,NW_005054952.1:12034-15982,+,+,257,295,8.108524457,-0.197,0.197,0.751547369,1,no,2,0,0
7687,-5.8,LOC102045663,mRNA,NW_005054843.1:47442-52271,-,+,1131,1532,10.37883671,-0.438,0.438,0.69342418,1,no,2,0,0
6860,-4.4,LOC102040300,lnc_RNA,NW_005055144.1:7984-10673,+,+,2852,1644,11.13442632,0.795,0.795,0.417466258,1,no,2,0,0
8970,81,LOC115949048,lnc_RNA,NW_005054723.1:58652-60888,-,+,1344,2058,10.73216743,-0.614,0.614,0.129483544,0.896986816,no,2,0,0
5677,-18,LOC102032750,mRNA,NW_005054790.1:23357-68687,-,+,3057,2198,11.35947505,0.476,0.476,0.434741505,1,no,2,0,0
6320,20.6,LOC102036912,mRNA,NW_005054948.1:5702-27746,-,+,3134,3433,11.68101874,-0.131,0.131,0.887908491,1,no,2,0,0
6121,-0.281,LOC102035768,mRNA,NW_005054803.1:3983-31307,-,+,444,412,8.741466986,0.108,0.108,0.735510154,1,no,2,0,0
5570,-0.225,LOC102031921,transcript,NW_005054911.1:812-30476,+,+,579,543,9.131856961,0.092,0.092,0.932560888,1,no,2,0,0
6996,133.7,LOC102041079,mRNA,NW_005054775.1:65365-88786,-,+,2730,2298,11.29576893,0.249,0.249,0.781977028,1,no,2,0,0
7188,-103.3,LOC102042603,mRNA,NW_005055013.1:9806-28556,-,+,835,680,9.565102078,0.296,0.296,0.502952696,1,no,2,0,0
13519,24.5,SMAD4,mRNA,NW_005054832.1:12717-32594,+,+,4120,4039,11.99417663,0.029,0.029,0.969575464,1,no,2,0,0
9065,0,LOC115949180,mRNA,NW_005054946.1:19550-35531,+,+,70,66,6.087462841,0.094,0.094,0.974017141,1,no,2,0,0
7215,20.9,LOC102042766,mRNA,NW_005054779.1:4990-58613,-,+,1402,1089,10.28250931,0.363,0.363,0.427753273,1,no,2,0,0
7334,-1.018,LOC102043511,mRNA,NW_005054830.1:15236-56060,-,+,355,474,8.695228291,-0.416,0.416,0.320348836,1,no,2,0,0
8965,46,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,0,1,-1,-1.758,1.758,0.259165792,0.987092931,no,0,1,0
9088,0,LOC115949206,lnc_RNA,NW_005055056.1:7164-19942,-,+,85,109,6.599912842,-0.347,0.347,0.462311317,1,no,2,0,0
5527,0.353,LOC102031646,mRNA,NW_005054844.1:20355-41810,-,+,366,339,8.461479447,0.112,0.112,0.793022253,1,no,2,0,0
9066,0,LOC115949181,mRNA,NW_005054946.1:2836-17579,+,+,318,405,8.497851837,-0.349,0.349,0.423946655,1,no,2,0,0
7637,0,LOC102045333,mRNA,NW_005054760.1:15727-101030,+,-,66,78,6.169925001,-0.235,0.235,0.668951536,1,no,2,0,0
6647,0,LOC102039047,mRNA,NW_005054701.1:12272-125227,-,-,78,81,6.312882955,-0.056,0.056,0.912107829,1,no,2,0,0
7568,-0.337,LOC102044942,mRNA,NW_005055037.1:1538-24655,-,+,150,148,7.21916852,0.019,0.019,0.989190073,1,no,2,0,0
7170,0,LOC102042439,mRNA,NW_005054890.1:7725-43823,+,-,40,52,5.523561956,-0.366,0.366,0.695718945,1,no,2,0,0
7187,0,LOC102042602,mRNA,NW_005054895.1:13444-43576,-,-,38,53,5.50779464,-0.507,0.507,0.486274028,1,no,2,0,0
12804,0,S100B,mRNA,NW_005054501.1:1168571-1171030,-,-,36,0,4.169925001,6.788,6.788,0.030685216,0.645569745,no,1,1,0
9310,0,LOC115949447,snoRNA,NW_005061490.1:320-453,-,-,38,35,5.189824559,0.12,0.12,0.895928506,1,no,2,0,0
7239,0,LOC102042934,mRNA,NW_005055016.1:5238-10398,-,-,30,46,5.247927513,-0.614,0.614,0.442715744,1,no,2,0,0
9024,0,LOC115949136,lnc_RNA,NW_005054798.1:21238-73872,-,-,48,44,5.523561956,0.119,0.119,0.869874612,1,no,2,0,0
7177,-12,LOC102042499,mRNA,NW_005054752.1:17106-86099,-,+,223,246,7.873444113,-0.142,0.142,0.808762146,1,no,2,0,0
5941,20.2,LOC102034430,mRNA,NW_005054796.1:5162-10115,+,+,438,256,8.438791853,0.776,0.776,0.197534107,0.959614487,no,2,0,0
5708,0,LOC102032917,mRNA,NW_005054918.1:35329-38920,-,-,31,34,5.022367813,-0.125,0.125,0.955448105,1,no,2,0,0
7119,0.01999,LOC102042044,mRNA,NW_005054750.1:32708-100580,+,+,332,301,8.306061689,0.143,0.143,0.766760695,1,no,2,0,0
11360,-3.259,PHGDH,mRNA,NW_005054421.1:1017324-1020441,-,-,0,93,5.539158811,-7.495,7.495,0.004531455,0.39594269,no,1,1,0
7507,133.6,LOC102044608,mRNA,NW_005055036.1:12238-20141,-,-,0,1,-1,-1.713,1.713,0.351385538,1,no,0,1,0
9054,0,LOC115949169,lnc_RNA,NW_005054875.1:19092-41942,-,-,18,37,4.781359714,-1.006,1.006,0.340201171,1,no,2,1,0
532,-456.9,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,287,205,7.942514505,0.482,0.482,0.755347705,1,no,2,0,0
3454,-29.2,FAM222A,mRNA,NW_005054362.1:4175169-4201201,+,-,292,194,7.924812504,0.587,0.587,0.731012288,1,no,2,0,0
6551,0,LOC102038435,mRNA,NW_005054744.1:11473-102882,-,+,25,17,4.392317423,0.556,0.556,0.619225702,1,no,2,0,0
5147,2.8,KIAA0319,mRNA,NW_005054325.1:2111900-2168515,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
4220,0,GPRIN2,mRNA,NW_005054300.1:18505857-18533819,-,-,7,10,3.087462841,-0.482,0.482,0.587484138,1,no,1,0,0
6991,-53.9,LOC102041050,mRNA,NW_005054336.1:576985-600966,-,-,6,713,8.48984796,-6.978,6.978,5.45228E-07,0.0012196,yes,1,1,1
