GeneID,gene_type,locus,strand,sex-linked,avg ICRA,avg UCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,89,65,6.266786541,0.458,0.458,0.324217904,0.839780896,no,2,0,0
JAKMIP3,mRNA,NW_005054506.1:586461-634081,-,-,1,0,-1,0.93,0.93,0.479251777,0.8900586,no,0,0,0
FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,11,4,2.906890596,1.431,1.431,0.138691946,0.759471769,no,1,1,0
LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,47,58,5.714245518,-0.324,0.324,0.363052983,0.857370392,no,2,0,0
LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,2,4,1.584962501,-0.94,0.94,0.218048847,0.801610666,no,0,0,0
LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,579,736,9.360847084,-0.346,0.346,0.524345587,0.902797035,no,2,0,0
LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,14,10,3.584962501,0.51,0.51,0.394189895,0.865955115,no,2,0,0
MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,2,3,1.321928095,-0.288,0.288,0.767790265,0.950314219,no,0,0,0
ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,10,12,3.459431619,-0.396,0.396,0.520268307,0.902797035,no,2,0,0
FLT1,mRNA,NW_005054302.1:581831-675121,+,-,4,1,1.321928095,1.848,1.848,0.001777276,0.139112872,no,0,1,0
TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,3,6,2.169925001,-0.728,0.728,0.460363125,0.884511637,no,0,0,0
PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,844,1322,10.08081753,-0.647,0.647,0.18061904,0.784894394,no,2,0,0
LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,5,4,2.169925001,0.29,0.29,0.697042925,0.938111147,no,0,0,0
TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,217,178,7.625708843,0.287,0.287,0.629712799,0.925110245,no,2,0,0
DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,12,9,3.392317423,0.466,0.466,0.624721888,0.924848,no,1,0,0
KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,127,205,7.375039431,-0.683,0.683,0.154594789,0.769280694,no,2,0,0
ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,16,54,5.129283017,-1.732,1.732,0.117247645,0.734010438,no,2,1,0
LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,45,11,4.807354922,2.034,2.034,0.009184399,0.335119344,no,2,1,0
DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,16,14,3.906890596,0.264,0.264,0.545807205,0.906712018,no,2,0,0
SOD3,mRNA,NW_005054297.1:4890411-4891908,+,-,4,1,1.321928095,2.337,2.337,0.127867259,0.740044044,no,0,1,0
NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,1188,2077,10.67286728,-0.806,0.806,0.157307301,0.769280694,no,2,0,0
LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,257,194,7.816983623,0.41,0.41,0.373065175,0.861709807,no,2,0,0
