Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg ICRA,avg IFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
8965,869.9,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,89,0,5.475733431,8.699,8.699,5.44582E-28,1.11122E-24,yes,1,1,1
4982,754.2,JAKMIP3,mRNA,NW_005054506.1:586461-634081,-,-,1,24,3.64385619,-4.695,4.695,5.69763E-05,0.000864387,yes,1,1,1
3422,595.2,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,11,271,7.139551352,-4.62,4.62,8.71851E-07,2.68868E-05,yes,2,1,1
5995,594.7,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,47,2880,10.51520703,-5.947,5.947,1.74142E-64,2.13202E-60,yes,2,1,1
6627,577.4,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,2,124,5.977279923,-5.774,5.774,2.78441E-15,6.68422E-13,yes,1,1,1
8568,572.9,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,579,30736,13.93456626,-5.729,5.729,4.68334E-26,5.73382E-23,yes,2,1,1
7882,533.5,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,14,420,7.761551232,-4.911,4.911,2.57006E-17,8.99006E-15,yes,2,1,1
10315,518.3,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,2,93,5.569855608,-5.183,5.183,3.73464E-08,1.90053E-06,yes,1,1,1
140,510.9,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,10,326,7.392317423,-5.109,5.109,2.01915E-17,7.27073E-15,yes,2,1,1
3682,502.8,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,4,52,4.807354922,-3.679,3.679,3.56366E-19,1.55821E-16,yes,1,1,1
14236,502.5,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,3,107,5.781359714,-5.025,5.025,1.9777E-07,7.76059E-06,yes,1,1,1
11262,500.2,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,844,30,8.77148947,4.808,4.808,1.05675E-22,7.86744E-20,yes,2,1,1
8373,492.2,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,5,152,6.294620749,-4.922,4.922,4.26917E-12,5.3884E-10,yes,1,1,1
14164,455.9,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,217,2159,10.21431912,-3.315,3.315,2.31037E-08,1.20366E-06,yes,2,1,1
2917,451.8,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,12,25,4.209453366,-1.036,1.036,0.272416407,0.448278774,no,2,1,0
5025,450.9,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,127,6,6.055282436,4.509,4.509,1.86813E-18,7.88671E-16,yes,1,1,1
532,449.1,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,16,360,7.554588852,-4.491,4.491,4.73982E-05,0.000741119,yes,2,1,1
7152,446.6,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,45,359,7.658211483,-2.988,2.988,0.000100721,0.00136859,yes,2,1,1
2535,445.5,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,16,165,6.499845887,-3.338,3.338,1.91842E-15,4.89318E-13,yes,2,1,1
13676,443.3,SOD3,mRNA,NW_005054297.1:4890411-4891908,+,-,4,96,5.64385619,-4.433,4.433,0.002302266,0.015661656,yes,1,1,1
10754,441.6,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,1188,121,9.354249382,3.3,3.3,7.70943E-09,4.53782E-07,yes,2,1,1
6044,440.7,LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,257,12,7.071462363,4.407,4.407,2.52662E-20,1.34493E-17,yes,2,1,1
3227,438.9,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,74,1552,9.667111542,-4.389,4.389,1.57296E-10,1.38545E-08,yes,2,1,1
9274,437.2,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,35,732,8.583082768,-4.372,4.372,4.52694E-16,1.3196E-13,yes,2,1,1
1446,418.9,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,21,93,5.832890014,-2.171,2.171,1.4698E-05,0.000283137,yes,2,1,1
13868,413.8,SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,110,10,5.906890596,3.405,3.405,3.23817E-26,4.40498E-23,yes,2,1,1
1954,403.1,CMBL,mRNA,NW_005054340.1:61978-69619,-,-,8030,1090,12.15481811,2.882,2.882,7.09478E-15,1.5511E-12,yes,2,1,1
2985,384.2,EDA,mRNA,NW_005054456.1:44908-79578,-,-,22,315,7.396604781,-3.842,3.842,1.04913E-15,2.85433E-13,yes,2,1,1
9119,380.7,LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,17,236,6.982993575,-3.807,3.807,1.02487E-12,1.56844E-10,yes,2,1,1
15495,375,VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,196,2642,10.47065887,-3.75,3.75,1.54841E-19,7.0212E-17,yes,2,1,1
15388,374.5,USP18,mRNA,NW_005054384.1:865266-877230,+,-,50,667,8.485829309,-3.745,3.745,3.64587E-11,3.88142E-09,yes,2,1,1
2898,373.6,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,21,124,6.17990909,-2.556,2.556,0.002011069,0.014158434,yes,2,1,1
4788,371.1,IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,424,32,7.832890014,3.711,3.711,1.04014E-21,6.7023E-19,yes,2,1,1
2504,369,DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,119,29,6.209453366,2.028,2.028,9.18373E-07,2.81091E-05,yes,2,1,1
1027,359.2,BCO2,mRNA,NW_005054447.1:136807-151940,+,-,68,6,5.209453366,3.592,3.592,1.36357E-20,7.58824E-18,yes,1,1,1
5223,357,KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,1500,126,9.667111542,3.57,3.57,3.41391E-23,2.78644E-20,yes,2,1,1
11717,354.6,PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,14,100,5.832890014,-2.797,2.797,3.77718E-07,1.33553E-05,yes,2,1,1
12970,354.3,SELENBP1,mRNA,NW_005054778.1:62178-67904,+,-,51,4,4.781359714,3.543,3.543,3.01598E-18,1.23082E-15,yes,1,1,1
8946,353.1,LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,10,45,4.781359714,-2.114,2.114,0.011274321,0.050358086,no,2,1,0
5815,349.9,LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,82,8,5.491853096,3.499,3.499,1.77537E-07,7.08008E-06,yes,1,1,1
2885,349.1,DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,20,158,6.475733431,-3.017,3.017,3.88312E-11,4.0289E-09,yes,2,1,1
6380,347.7,LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,101,449,8.103287808,-2.148,2.148,0.000748935,0.006766941,yes,2,1,1
10620,346.9,NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,252,56,7.266786541,2.16,2.16,0.000160287,0.001948758,yes,2,1,1
14066,339,SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,233,22,6.994353437,3.39,3.39,1.25722E-05,0.000251506,yes,2,1,1
