Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9888,0,MEX3C,mRNA,NW_005054986.1:5120-16711,-,+,2,2,1.0,-0.6,0.6,0.54,0.72,no,0,0,0
9168,0,LOC115949298,lnc_RNA,NW_005055489.1:1907-4305,+,+,1,0,-1.0,1.6,1.6,0.12,0.28,no,0,1,0
5912,0,LOC102034259,mRNA,NW_005055075.1:2278-22247,+,+,2,0,0.0,2.1,2.1,0.08,0.23,no,0,1,0
7198,1,LOC102042666,mRNA,NW_005054753.1:45733-94880,-,+,1,1,0.0,-1.1,1.1,0.22,0.41,no,0,1,0
14236,-559,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,5,133,6.1,-4.8,4.8,0.00,0.00,yes,1,1,1
5759,132,LOC102033243,mRNA,NW_005055240.1:12234-14135,-,+,2,5,1.8,-1.3,1.3,0.12,0.28,no,0,1,0
9058,1,LOC115949173,mRNA,NW_005054917.1:20816-35469,+,+,0,0,-3.3,0.0,0.0,0.77,0.87,no,0,0,0
9033,0,LOC115949146,lnc_RNA,NW_005054811.1:15759-18791,-,+,0,0,-3.3,0.0,0.0,0.64,0.79,no,0,0,0
5740,-18,LOC102033082,mRNA,NW_005055064.1:3313-25773,-,+,2,1,0.6,1.8,1.8,0.04,0.15,no,0,1,0
6085,65,LOC102035429,mRNA,NW_005056048.1:15-4648,+,+,6,10,3.0,-0.9,0.9,0.09,0.24,no,1,0,0
9067,1,LOC115949182,mRNA,NW_005054952.1:16290-19277,+,+,1,1,0.0,0.0,0.0,0.97,0.99,no,0,0,0
6886,0,LOC102040475,mRNA,NW_005054980.1:6-1275,+,+,1,2,0.6,-0.7,0.7,0.42,0.61,no,0,0,0
6961,44,LOC102040865,mRNA,NW_005054728.1:23238-99448,+,+,6,12,3.2,-1.0,1.0,0.11,0.26,no,1,1,0
6730,11,LOC102039568,mRNA,NW_005054871.1:7-40947,-,+,2,4,1.6,-0.8,0.8,0.30,0.51,no,0,0,0
5911,-5,LOC102034258,mRNA,NW_005054928.1:10191-32623,+,+,3,10,2.7,-1.7,1.7,0.02,0.07,no,1,1,0
6393,0,LOC102037414,mRNA,NW_005054952.1:12034-15982,+,+,0,2,0.0,-2.2,2.2,0.01,0.07,no,0,1,0
7687,37,LOC102045663,mRNA,NW_005054843.1:47442-52271,-,+,3,6,2.2,-1.2,1.2,0.14,0.32,no,0,1,0
6860,-50,LOC102040300,lnc_RNA,NW_005055144.1:7984-10673,+,+,4,18,3.5,-2.2,2.2,0.00,0.01,yes,1,1,1
8970,22,LOC115949048,lnc_RNA,NW_005054723.1:58652-60888,-,+,2,4,1.6,-1.2,1.2,0.03,0.12,no,0,1,0
5677,-12,LOC102032750,mRNA,NW_005054790.1:23357-68687,-,+,6,14,3.3,-1.2,1.2,0.01,0.05,no,1,1,0
6320,58,LOC102036912,mRNA,NW_005054948.1:5702-27746,-,+,8,10,3.2,-0.3,0.3,0.61,0.76,no,1,0,0
6121,0,LOC102035768,mRNA,NW_005054803.1:3983-31307,-,+,1,2,0.6,-1.4,1.4,0.06,0.18,no,0,1,0
5570,-1,LOC102031921,transcript,NW_005054911.1:812-30476,+,+,1,2,0.6,-1.5,1.5,0.13,0.29,no,0,1,0
6996,30,LOC102041079,mRNA,NW_005054775.1:65365-88786,-,+,3,10,2.7,-1.8,1.8,0.01,0.05,no,1,1,0
7188,-7,LOC102042603,mRNA,NW_005055013.1:9806-28556,-,+,4,2,1.6,0.7,0.7,0.19,0.38,no,0,0,0
13519,27,SMAD4,mRNA,NW_005054832.1:12717-32594,+,+,9,14,3.5,-0.7,0.7,0.23,0.43,no,1,0,0
9065,0,LOC115949180,mRNA,NW_005054946.1:19550-35531,+,+,0,1,-1.0,-2.2,2.2,0.30,0.50,no,0,1,0
7215,7,LOC102042766,mRNA,NW_005054779.1:4990-58613,-,+,3,7,2.3,-1.3,1.3,0.01,0.04,yes,0,1,0
7334,0,LOC102043511,mRNA,NW_005054830.1:15236-56060,-,+,1,1,0.0,-0.2,0.2,0.75,0.86,no,0,0,0
8965,870,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,68,0,5.1,8.3,8.3,0.00,0.00,yes,1,1,1
9088,0,LOC115949206,lnc_RNA,NW_005055056.1:7164-19942,-,+,0,1,-1.0,-1.5,1.5,0.14,0.31,no,0,1,0
5527,0,LOC102031646,mRNA,NW_005054844.1:20355-41810,-,+,1,1,0.0,-1.0,1.0,0.21,0.40,no,0,0,0
9066,0,LOC115949181,mRNA,NW_005054946.1:2836-17579,+,+,0,1,-1.0,-1.4,1.4,0.12,0.29,no,0,1,0
7637,0,LOC102045333,mRNA,NW_005054760.1:15727-101030,+,-,0,0,-3.3,0.0,0.0,0.93,0.96,no,0,0,0
6647,0,LOC102039047,mRNA,NW_005054701.1:12272-125227,-,-,0,0,-3.3,0.0,0.0,0.77,0.87,no,0,0,0
7568,0,LOC102044942,mRNA,NW_005055037.1:1538-24655,-,+,1,1,0.0,-0.5,0.5,0.72,0.84,no,0,0,0
7170,0,LOC102042439,mRNA,NW_005054890.1:7725-43823,+,-,0,0,-3.3,0.0,0.0,0.54,0.72,no,0,0,0
7187,0,LOC102042602,mRNA,NW_005054895.1:13444-43576,-,-,0,0,-3.3,0.0,0.0,0.57,0.74,no,0,0,0
12804,-711,S100B,mRNA,NW_005054501.1:1168571-1171030,-,-,0,42,4.4,-7.8,7.8,0.00,0.00,yes,1,1,1
9310,-779,LOC115949447,snoRNA,NW_005061490.1:320-453,-,-,0,35,4.1,-6.6,6.6,0.00,0.00,yes,1,1,1
7239,0,LOC102042934,mRNA,NW_005055016.1:5238-10398,-,-,0,0,-3.3,0.0,0.0,0.93,0.97,no,0,0,0
9024,0,LOC115949136,lnc_RNA,NW_005054798.1:21238-73872,-,-,0,0,-3.3,0.0,0.0,0.57,0.74,no,0,0,0
7177,125,LOC102042499,mRNA,NW_005054752.1:17106-86099,-,+,3,1,1.0,1.1,1.1,0.13,0.30,no,0,1,0
5941,-14,LOC102034430,mRNA,NW_005054796.1:5162-10115,+,+,2,1,0.6,0.7,0.7,0.32,0.53,no,0,0,0
5708,0,LOC102032917,mRNA,NW_005054918.1:35329-38920,-,-,0,0,-3.3,0.0,0.0,0.82,0.90,no,0,0,0
7119,-1,LOC102042044,mRNA,NW_005054750.1:32708-100580,+,+,0,2,0.0,-2.1,2.1,0.01,0.06,no,0,1,0
11360,0,PHGDH,mRNA,NW_005054421.1:1017324-1020441,-,-,2,1,0.6,1.8,1.8,0.33,0.54,no,0,1,0
7507,753,LOC102044608,mRNA,NW_005055036.1:12238-20141,-,-,12,1,2.7,3.6,3.6,0.00,0.00,yes,1,1,1
9054,0,LOC115949169,lnc_RNA,NW_005054875.1:19092-41942,-,-,0,0,-3.3,0.0,0.0,0.94,0.97,no,0,0,0
532,-734,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,57,420,7.9,-2.9,2.9,0.00,0.03,yes,2,1,1
3454,560,FAM222A,mRNA,NW_005054362.1:4175169-4201201,+,-,110,4,5.8,4.8,4.8,0.00,0.00,yes,1,1,1
6551,0,LOC102038435,mRNA,NW_005054744.1:11473-102882,-,+,0,0,-3.3,0.0,0.0,0.61,0.77,no,0,0,0
5147,714,KIAA0319,mRNA,NW_005054325.1:2111900-2168515,+,-,22,0,3.5,6.3,6.3,0.00,0.00,yes,1,1,1
4220,-534,GPRIN2,mRNA,NW_005054300.1:18505857-18533819,-,-,0,39,4.3,-7.1,7.1,0.00,0.00,yes,1,1,1
6991,-15,LOC102041050,mRNA,NW_005054336.1:576985-600966,-,-,12,8,3.3,0.6,0.6,0.55,0.72,no,1,0,0
7808,0,LOC106632114,mRNA,NW_005054808.1:9384-58100,+,-,0,0,-3.3,0.0,0.0,0.46,0.65,no,0,0,0
15693,-688,XIRP1,mRNA,NW_005054367.1:1564814-1587841,-,-,0,11,2.5,-5.9,5.9,0.00,0.00,yes,1,1,1
6305,676,LOC102036849,mRNA,NW_005064235.1:7-645,+,-,25,0,3.6,6.9,6.9,0.00,0.00,yes,1,1,1
10051,-128,MORN3,mRNA,NW_005054362.1:2866164-2881812,-,-,1,37,4.2,-4.8,4.8,0.00,0.00,yes,1,1,1
9586,-675,LYZ,mRNA,NW_005054425.1:1701324-1703064,-,-,1,1,0.0,-1.1,1.1,0.36,0.56,no,0,1,0
6188,657,LOC102036126,mRNA,NW_005054312.1:800538-827454,-,-,13,1,2.8,4.2,4.2,0.00,0.00,yes,1,1,1
7152,-313,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,11,20,4.0,-0.8,0.8,0.36,0.56,no,2,0,0
5329,10,LAMB4,mRNA,NW_005054354.1:1507434-1550177,+,-,5,15,3.3,-1.6,1.6,0.07,0.20,no,1,1,0
7134,0,LOC102042155,mRNA,NW_005054480.1:1279150-1280613,-,-,0,1,-1.0,-1.2,1.2,0.39,0.60,no,0,1,0
6825,-49,LOC102040076,mRNA,NW_005054771.1:182-87429,-,+,1,2,0.6,-0.6,0.6,0.43,0.62,no,0,0,0
2523,128,DCDC2,mRNA,NW_005054325.1:2223525-2275425,+,-,43,1,4.5,6.4,6.4,0.00,0.00,yes,1,1,1
5720,0,LOC102032980,mRNA,NW_005054849.1:3664-12020,+,-,0,0,-3.3,0.0,0.0,1.00,1.00,no,0,0,0
8568,-628,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,774,7080,11.9,-3.2,3.2,0.00,0.00,yes,2,1,1
