GeneID,gene_type,locus,strand,sex-linked,avg IFOR,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,0,0,-3.321928095,0,0,0.612992016,0.94499805,no,0,0,0
JAKMIP3,mRNA,NW_005054506.1:586461-634081,-,-,24,90,5.832890014,-1.917,1.917,0.075216054,0.525129727,no,2,1,0
FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,271,253,8.033423002,0.099,0.099,0.914938567,0.993547474,no,2,0,0
LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,2880,2549,11.40647077,0.176,0.176,0.610245576,0.944206694,no,2,0,0
LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,124,71,6.607330314,0.805,0.805,0.232707288,0.776853069,no,2,0,0
LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,30736,8884,14.27394126,1.791,1.791,0.000961972,0.070260967,no,2,1,0
LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,420,395,8.670656249,0.086,0.086,0.879743048,0.992198979,no,2,0,0
MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,93,44,6.098032083,1.082,1.082,0.231936774,0.776257816,no,2,1,0
ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,326,268,8.214319121,0.285,0.285,0.626315762,0.946325658,no,2,0,0
FLT1,mRNA,NW_005054302.1:581831-675121,+,-,52,37,5.475733431,0.499,0.499,0.165143731,0.704209456,no,2,0,0
TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,107,96,6.665335917,0.146,0.146,0.87638168,0.991137205,no,2,0,0
PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,30,41,5.14974712,-0.454,0.454,0.360240139,0.862086968,no,2,0,0
LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,152,26,6.475733431,2.563,2.563,0.00020522,0.034386395,yes,2,1,1
TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,2159,4191,11.63254088,-0.957,0.957,0.106408789,0.60360753,no,2,0,0
DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,25,204,6.839203788,-3.016,3.016,0.001277768,0.08071271,no,2,1,0
KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,6,13,3.247927513,-1.242,1.242,0.019180469,0.305463645,no,1,1,0
ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,360,368,8.50779464,-0.029,0.029,0.978710493,0.997969818,no,2,0,0
LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,359,16,7.550746785,4.466,4.466,8.34428E-09,9.50747E-05,yes,2,1,1
DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,165,299,7.857980995,-0.854,0.854,0.035949851,0.402285743,no,2,0,0
SOD3,mRNA,NW_005054297.1:4890411-4891908,+,-,96,11,5.741466986,3.144,3.144,0.029815803,0.375879267,no,2,1,0
NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,121,98,6.77478706,0.31,0.31,0.58909498,0.934839583,no,2,0,0
LOC102035141,mRNA,NW_005054444.1:895211-924794,-,-,12,36,4.584962501,-1.561,1.561,0.001232602,0.078900403,no,2,1,0
EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,1552,339,9.884933648,2.196,2.196,0.001335813,0.081299801,no,2,1,0
LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,732,380,9.118941073,0.946,0.946,0.076442236,0.528399681,no,2,0,0
CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,93,261,7.46760555,-1.493,1.493,0.002445765,0.109398748,no,2,1,0
SSX2IP,mRNA,NW_005054336.1:605097-618664,-,-,10,7,3.087462841,0.608,0.608,0.098646116,0.582508067,no,1,0,0
CMBL,mRNA,NW_005054340.1:61978-69619,-,-,1090,597,9.720244258,0.868,0.868,0.019171936,0.305463645,no,2,0,0
EDA,mRNA,NW_005054456.1:44908-79578,-,-,315,301,8.266786541,0.064,0.064,0.891044837,0.992212165,no,2,0,0
LOC115949242,mRNA,NW_005055209.1:2637-6819,-,-,236,264,7.965784285,-0.165,0.165,0.752452825,0.971543634,no,2,0,0
VPS13C,mRNA,NW_005054398.1:1089666-1158693,-,-,2642,1971,11.17148958,0.423,0.423,0.307025961,0.832843608,no,2,0,0
USP18,mRNA,NW_005054384.1:865266-877230,+,-,667,172,8.712527,1.952,1.952,0.00053532,0.054220518,no,2,1,0
DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,124,9,6.055282436,3.736,3.736,8.16803E-06,0.007158964,yes,1,1,1
IL22RA2,mRNA,NW_005054316.1:3228699-3234585,-,-,32,66,5.614709844,-1.012,1.012,0.009827528,0.219558533,no,2,1,0
DBNDD2,mRNA,NW_005054337.1:4390293-4397520,+,-,29,11,4.321928095,1.438,1.438,0.000996307,0.071246905,no,2,1,0
BCO2,mRNA,NW_005054447.1:136807-151940,+,-,6,8,2.807354922,-0.583,0.583,0.162073875,0.698173812,no,0,0,0
KLF11,mRNA,NW_005054318.1:6702695-6715007,-,-,126,242,7.523561956,-0.934,0.934,0.009658748,0.217924306,no,2,0,0
PPFIA4,mRNA,NW_005054425.1:372142-407557,-,-,100,107,6.693486957,-0.091,0.091,0.866604541,0.989422309,no,2,0,0
SELENBP1,mRNA,NW_005054778.1:62178-67904,+,-,4,7,2.459431619,-0.597,0.597,0.178797037,0.721665991,no,0,0,0
LOC115949016,mRNA,NW_005054680.1:141173-142372,+,-,45,153,6.62935662,-1.756,1.756,0.033168077,0.394897668,no,2,1,0
LOC102033595,mRNA,NW_005054312.1:850782-854859,-,-,8,9,3.087462841,-0.343,0.343,0.617480201,0.945425783,no,0,0,0
DSCC1,mRNA,NW_005054321.1:3783197-3797161,-,-,158,257,7.696967526,-0.701,0.701,0.116529152,0.62270784,no,2,0,0
LOC102037327,mRNA,NW_005054372.1:1528618-1529418,-,-,449,40,7.933690655,3.477,3.477,5.6483E-08,0.000321784,yes,2,1,1
NKAIN1,mRNA,NW_005054428.1:1237327-1249681,-,-,56,28,5.392317423,1.002,1.002,0.08335776,0.543973835,no,2,1,0
SYNDIG1L,mRNA,NW_005054301.1:6432441-6437603,+,-,22,66,5.459431619,-1.585,1.585,0.041593432,0.421724885,no,2,1,0
POLQ,mRNA,NW_005054320.1:6394572-6443540,-,-,105,152,7.005624549,-0.53,0.53,0.356885067,0.859895728,no,2,0,0
PLA2G15,mRNA,NW_005054343.1:1671689-1687941,+,-,54,44,5.614709844,0.266,0.266,0.354606747,0.857717866,no,2,0,0
LOC115948717,lnc_RNA,NW_005054487.1:428337-430256,+,-,44,54,5.614709844,-0.288,0.288,0.278232716,0.812476532,no,2,0,0
LOC106631921,lnc_RNA,NW_005054392.1:603830-626449,-,-,29,17,4.523561956,0.816,0.816,0.266540425,0.799218652,no,2,0,0
LOC102032244,mRNA,NW_005054532.1:778737-780769,-,-,6,7,2.700439718,-0.183,0.183,0.760533777,0.973548891,no,0,0,0
LOC102038864,mRNA,NW_005054600.1:305293-308049,-,-,1614,607,10.11699368,1.409,1.409,0.003187495,0.12395332,no,2,1,0
LOC102040923,pseudogene,NW_005054772.1:88125-88461,+,-,50,22,5.169925001,1.235,1.235,0.05526731,0.471344111,no,2,1,0
CPN2,mRNA,NW_005054309.1:215692-225342,+,-,66,87,6.257387843,-0.385,0.385,0.33226372,0.845236175,no,2,0,0
LOC115948647,mRNA,NW_005054458.1:659307-666707,+,-,27,39,5.044394119,-0.54,0.54,0.087576359,0.552516632,no,2,0,0
MRPL24,mRNA,NW_005054582.1:16375-18118,-,-,1637,2442,10.99399979,-0.577,0.577,0.012659701,0.253240612,no,2,0,0
LOC102038749,mRNA,NW_005054387.1:1682926-1690155,-,-,69,24,5.539158811,1.55,1.55,0.005386437,0.170008494,no,2,1,0
PLPPR3,mRNA,NW_005054491.1:593087-597772,-,-,24,39,4.977279923,-0.7,0.7,0.032929458,0.394395033,no,2,0,0
GEM,mRNA,NW_005054344.1:4572928-4581784,-,-,43,69,5.807354922,-0.677,0.677,0.322980091,0.839675171,no,2,0,0
LOC102039268,mRNA,NW_005054446.1:1360220-1365814,+,-,53,50,5.686500527,0.081,0.081,0.814978321,0.983420693,no,2,0,0
