GeneID,locus,avg mIFOR,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
MEX3C,NW_005054986.1:5120-16711,1,2,0.6,-1.2,1.2,0.27,0.89,no,0,1,0
LOC115949298,NW_005055489.1:1907-4305,0,0,-3.3,0.0,0.0,0.50,0.96,no,0,0,0
LOC102034259,NW_005055075.1:2278-22247,2,0,0.0,2.1,2.1,0.10,0.73,no,0,1,0
LOC102042666,NW_005054753.1:45733-94880,0,1,-1.0,-1.4,1.4,0.17,0.81,no,0,1,0
TCF21,NW_005054392.1:2035110-2046687,116,133,7.0,-0.2,0.2,0.84,0.99,no,2,0,0
LOC102033243,NW_005055240.1:12234-14135,1,5,1.6,-2.1,2.1,0.02,0.48,no,0,1,0
LOC115949173,NW_005054917.1:20816-35469,0,0,-3.3,0.0,0.0,0.78,0.99,no,0,0,0
LOC115949146,NW_005054811.1:15759-18791,0,0,-3.3,0.0,0.0,0.32,0.91,no,0,0,0
LOC102033082,NW_005055064.1:3313-25773,2,1,0.6,1.5,1.5,0.10,0.73,no,0,1,0
LOC102035429,NW_005056048.1:15-4648,4,10,2.8,-1.2,1.2,0.03,0.53,no,1,1,0
LOC115949182,NW_005054952.1:16290-19277,1,1,0.0,-0.7,0.7,0.46,0.95,no,0,0,0
LOC102040475,NW_005054980.1:6-1275,1,2,0.6,-1.4,1.4,0.19,0.83,no,0,1,0
LOC102040865,NW_005054728.1:23238-99448,5,12,3.1,-1.3,1.3,0.07,0.65,no,1,1,0
LOC102039568,NW_005054871.1:7-40947,2,4,1.6,-1.1,1.1,0.21,0.84,no,0,1,0
LOC102034258,NW_005054928.1:10191-32623,5,10,2.9,-1.2,1.2,0.11,0.76,no,1,1,0
LOC102037414,NW_005054952.1:12034-15982,0,2,0.0,-1.9,1.9,0.06,0.63,no,0,1,0
LOC102045663,NW_005054843.1:47442-52271,2,6,2.0,-1.6,1.6,0.08,0.68,no,0,1,0
LOC102040300,NW_005055144.1:7984-10673,5,18,3.5,-1.8,1.8,0.02,0.44,no,1,1,0
LOC115949048,NW_005054723.1:58652-60888,3,4,1.8,-0.6,0.6,0.29,0.90,no,0,0,0
LOC102032750,NW_005054790.1:23357-68687,6,14,3.3,-1.3,1.3,0.01,0.38,no,1,1,0
LOC102036912,NW_005054948.1:5702-27746,6,10,3.0,-0.7,0.7,0.33,0.91,no,1,0,0
LOC102035768,NW_005054803.1:3983-31307,1,2,0.6,-1.2,1.2,0.12,0.77,no,0,1,0
LOC102031921,NW_005054911.1:812-30476,1,2,0.6,-1.1,1.1,0.27,0.89,no,0,1,0
LOC102041079,NW_005054775.1:65365-88786,6,10,3.0,-0.8,0.8,0.29,0.90,no,1,0,0
LOC102042603,NW_005055013.1:9806-28556,2,2,1.0,-0.2,0.2,0.72,0.98,no,0,0,0
SMAD4,NW_005054832.1:12717-32594,9,14,3.5,-0.7,0.7,0.26,0.88,no,1,0,0
LOC115949180,NW_005054946.1:19550-35531,0,1,-1.0,-2.4,2.4,0.31,0.91,no,0,1,0
LOC102042766,NW_005054779.1:4990-58613,3,7,2.3,-1.1,1.1,0.02,0.47,no,0,1,0
