Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg UCRA,avg UFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
8965,869.9,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,65,0,5.022367813,7.724,7.724,2.25946E-22,1.84417E-19,yes,1,1,1
4982,754.2,JAKMIP3,mRNA,NW_005054506.1:586461-634081,-,-,0,90,5.491853096,-7.542,7.542,1.06196E-09,7.97642E-08,yes,1,1,1
3422,595.2,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,4,253,7.005624549,-5.952,5.952,5.25227E-10,4.34483E-08,yes,1,1,1
5995,594.7,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,58,2549,10.34817487,-5.447,5.447,1.56108E-54,9.55615E-51,yes,2,1,1
6627,577.4,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,4,71,5.22881869,-4.03,4.03,1.3257E-08,7.61999E-07,yes,1,1,1
8568,572.9,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,736,8884,12.23182118,-3.593,3.593,3.5666E-11,3.83034E-09,yes,2,1,1
7882,533.5,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,10,395,7.661778098,-5.335,5.335,1.09017E-19,5.80301E-17,yes,2,1,1
10315,518.3,MYO10,mRNA,NW_005054340.1:2895552-3022544,-,-,3,44,4.554588852,-3.813,3.813,5.10205E-05,0.00079169,yes,1,1,1
140,510.9,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,12,268,7.129283017,-4.429,4.429,1.53156E-13,2.56861E-11,yes,2,1,1
3682,502.8,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,1,37,4.247927513,-5.028,5.028,1.73398E-19,8.49166E-17,yes,1,1,1
14236,502.5,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,6,96,5.672425342,-4.152,4.152,1.4428E-05,0.000281277,yes,1,1,1
