Index,Sort order,GeneID,gene_type,locus,strand,sex-linked,avg mICRA,avg mUCRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9888,-68,MEX3C,mRNA,NW_005054986.1:5120-16711,-,+,1,2,0.584962501,-0.676,0.676,0.508680229,1,no,0,0,0
9168,-1,LOC115949298,lnc_RNA,NW_005055489.1:1907-4305,+,+,0,1,-1,-1.317,1.317,0.214913061,1,no,0,1,0
5912,-2,LOC102034259,mRNA,NW_005055075.1:2278-22247,+,+,0,2,0,-2.226,2.226,0.080608637,1,no,0,1,0
7198,0,LOC102042666,mRNA,NW_005054753.1:45733-94880,-,+,1,1,0,0.23,0.23,0.816627112,1,no,0,0,0
14236,-102,TCF21,mRNA,NW_005054392.1:2035110-2046687,-,-,2,5,1.807354922,-1.022,1.022,0.319296548,1,no,0,1,0
5759,45,LOC102033243,mRNA,NW_005055240.1:12234-14135,-,+,3,2,1.321928095,0.445,0.445,0.603822475,1,no,0,0,0
9058,0,LOC115949173,mRNA,NW_005054917.1:20816-35469,+,+,1,0,-1,1.442,1.442,0.162117472,1,no,0,1,0
9033,0,LOC115949146,lnc_RNA,NW_005054811.1:15759-18791,-,+,0,0,-3.321928095,0,0,0.702282278,1,no,0,0,0
5740,-43,LOC102033082,mRNA,NW_005055064.1:3313-25773,-,+,1,2,0.584962501,-0.433,0.433,0.516945436,1,no,0,0,0
6085,31,LOC102035429,mRNA,NW_005056048.1:15-4648,+,+,7,6,2.700439718,0.308,0.308,0.562856958,1,no,0,0,0
9067,0,LOC115949182,mRNA,NW_005054952.1:16290-19277,+,+,1,1,0,-0.03,0.03,0.971970579,1,no,0,0,0
6886,-1,LOC102040475,mRNA,NW_005054980.1:6-1275,+,+,1,1,0,-0.513,0.513,0.611833175,1,no,0,0,0
6961,16,LOC102040865,mRNA,NW_005054728.1:23238-99448,+,+,6,6,2.584962501,0.161,0.161,0.810660357,1,no,0,0,0
6730,-18,LOC102039568,mRNA,NW_005054871.1:7-40947,-,+,2,2,1,-0.177,0.177,0.827685863,1,no,0,0,0
5911,46,LOC102034258,mRNA,NW_005054928.1:10191-32623,+,+,4,3,1.807354922,0.458,0.458,0.539446605,1,no,0,0,0
6393,0,LOC102037414,mRNA,NW_005054952.1:12034-15982,+,+,0,0,-3.321928095,0,0,0.95997069,1,no,0,0,0
7687,-6,LOC102045663,mRNA,NW_005054843.1:47442-52271,-,+,2,3,1.321928095,-0.058,0.058,0.948909367,1,no,0,0,0
6860,-4,LOC102040300,lnc_RNA,NW_005055144.1:7984-10673,+,+,4,4,2,-0.044,0.044,0.955403346,1,no,0,0,0
8970,81,LOC115949048,lnc_RNA,NW_005054723.1:58652-60888,-,+,3,2,1.321928095,0.81,0.81,0.15167931,1,no,0,0,0
5677,-18,LOC102032750,mRNA,NW_005054790.1:23357-68687,-,+,5,6,2.459431619,-0.18,0.18,0.73386747,1,no,0,0,0
6320,21,LOC102036912,mRNA,NW_005054948.1:5702-27746,-,+,9,8,3.087462841,0.206,0.206,0.766204299,1,no,0,0,0
6121,0,LOC102035768,mRNA,NW_005054803.1:3983-31307,-,+,1,1,0,-0.281,0.281,0.762157176,1,no,0,0,0
5570,0,LOC102031921,transcript,NW_005054911.1:812-30476,+,+,1,1,0,-0.225,0.225,0.839214791,1,no,0,0,0
6996,134,LOC102041079,mRNA,NW_005054775.1:65365-88786,-,+,8,3,2.459431619,1.337,1.337,0.061702583,1,no,0,1,0
7188,-103,LOC102042603,mRNA,NW_005055013.1:9806-28556,-,+,2,4,1.584962501,-1.033,1.033,0.078585422,1,no,0,1,0
13519,25,SMAD4,mRNA,NW_005054832.1:12717-32594,+,+,11,9,3.321928095,0.245,0.245,0.668212414,1,no,1,0,0
9065,0,LOC115949180,mRNA,NW_005054946.1:19550-35531,+,+,0,0,-3.321928095,0,0,1,1,no,0,0,0
7215,21,LOC102042766,mRNA,NW_005054779.1:4990-58613,-,+,4,3,1.807354922,0.209,0.209,0.68671192,1,no,0,0,0
7334,-1,LOC102043511,mRNA,NW_005054830.1:15236-56060,-,+,0,1,-1,-1.018,1.018,0.296899779,1,no,0,1,0
8965,46,LOC115949042,mRNA,NW_005054715.1:150264-151374,+,-,93,68,6.330916878,0.46,0.46,0.283500292,1,no,2,0,0
9088,0,LOC115949206,lnc_RNA,NW_005055056.1:7164-19942,-,+,0,0,-3.321928095,0,0,0.604204494,1,no,0,0,0
5527,0,LOC102031646,mRNA,NW_005054844.1:20355-41810,-,+,1,1,0,0.353,0.353,0.679934986,1,no,0,0,0
9066,0,LOC115949181,mRNA,NW_005054946.1:2836-17579,+,+,0,0,-3.321928095,0,0,0.738626473,1,no,0,0,0
7637,0,LOC102045333,mRNA,NW_005054760.1:15727-101030,+,-,0,0,-3.321928095,0,0,0.929730258,1,no,0,0,0
6647,0,LOC102039047,mRNA,NW_005054701.1:12272-125227,-,-,0,0,-3.321928095,0,0,0.735643169,1,no,0,0,0
7568,0,LOC102044942,mRNA,NW_005055037.1:1538-24655,-,+,0,1,-1,-0.337,0.337,0.809436,1,no,0,0,0
7170,0,LOC102042439,mRNA,NW_005054890.1:7725-43823,+,-,0,0,-3.321928095,0,0,0.760680746,1,no,0,0,0
7187,0,LOC102042602,mRNA,NW_005054895.1:13444-43576,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
12804,0,S100B,mRNA,NW_005054501.1:1168571-1171030,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
9310,0,LOC115949447,snoRNA,NW_005061490.1:320-453,-,-,0,0,-3.321928095,0,0,0.660824133,1,no,0,0,0
7239,0,LOC102042934,mRNA,NW_005055016.1:5238-10398,-,-,0,0,-3.321928095,0,0,0.751599324,1,no,0,0,0
9024,0,LOC115949136,lnc_RNA,NW_005054798.1:21238-73872,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
7177,-12,LOC102042499,mRNA,NW_005054752.1:17106-86099,-,+,2,3,1.321928095,-0.12,0.12,0.843992919,1,no,0,0,0
5941,20,LOC102034430,mRNA,NW_005054796.1:5162-10115,+,+,2,2,1,0.202,0.202,0.751905397,1,no,0,0,0
5708,0,LOC102032917,mRNA,NW_005054918.1:35329-38920,-,-,0,0,-3.321928095,0,0,0.709443896,1,no,0,0,0
7119,0,LOC102042044,mRNA,NW_005054750.1:32708-100580,+,+,2,0,0,1.999,1.999,0.018534928,1,no,0,1,0
11360,-3,PHGDH,mRNA,NW_005054421.1:1017324-1020441,-,-,0,2,0,-3.259,3.259,0.089469213,1,no,0,1,0
7507,134,LOC102044608,mRNA,NW_005055036.1:12238-20141,-,-,30,12,4.392317423,1.336,1.336,0.096063629,1,no,2,1,0
9054,0,LOC115949169,lnc_RNA,NW_005054875.1:19092-41942,-,-,0,0,-3.321928095,0,0,0.767996692,1,no,0,0,0
532,-457,ANXA10,mRNA,NW_005054297.1:24435388-24457129,-,-,2,57,4.882643049,-4.569,4.569,5.35624E-05,0.194605435,no,1,1,0
3454,-29,FAM222A,mRNA,NW_005054362.1:4175169-4201201,+,-,90,110,6.64385619,-0.292,0.292,0.80454379,1,no,2,0,0
6551,0,LOC102038435,mRNA,NW_005054744.1:11473-102882,-,+,0,0,-3.321928095,0,0,1,1,no,0,0,0
5147,3,KIAA0319,mRNA,NW_005054325.1:2111900-2168515,+,-,23,22,4.491853096,0.028,0.028,0.966921741,1,no,2,0,0
4220,0,GPRIN2,mRNA,NW_005054300.1:18505857-18533819,-,-,0,0,-3.321928095,0,0,0.829829771,1,no,0,0,0
6991,-54,LOC102041050,mRNA,NW_005054336.1:576985-600966,-,-,8,12,3.321928095,-0.539,0.539,0.578276568,1,no,1,0,0
7808,0,LOC106632114,mRNA,NW_005054808.1:9384-58100,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
15693,0,XIRP1,mRNA,NW_005054367.1:1564814-1587841,-,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
6305,46,LOC102036849,mRNA,NW_005064235.1:7-645,+,-,34,25,4.882643049,0.462,0.462,0.465500461,1,no,2,0,0
10051,65,MORN3,mRNA,NW_005054362.1:2866164-2881812,-,-,2,1,0.584962501,0.645,0.645,0.585618457,1,no,0,0,0
9586,-1,LYZ,mRNA,NW_005054425.1:1701324-1703064,-,-,0,1,-1,-1.319,1.319,0.348848045,1,no,0,1,0
6188,77,LOC102036126,mRNA,NW_005054312.1:800538-827454,-,-,21,13,4.087462841,0.767,0.767,0.24191293,1,no,2,0,0
7152,101,LOC102042286,mRNA,NW_005054319.1:704744-747284,+,-,22,11,4.044394119,1.005,1.005,0.284490825,1,no,2,1,0
5329,-105,LAMB4,mRNA,NW_005054354.1:1507434-1550177,+,-,2,5,1.807354922,-1.051,1.051,0.292626596,1,no,0,1,0
7134,0,LOC102042155,mRNA,NW_005054480.1:1279150-1280613,-,-,0,0,-3.321928095,0,0,0.622177782,1,no,0,0,0
6825,121,LOC102040076,mRNA,NW_005054771.1:182-87429,-,+,2,1,0.584962501,1.214,1.214,0.114541914,1,no,0,1,0
2523,2,DCDC2,mRNA,NW_005054325.1:2223525-2275425,+,-,43,43,5.426264755,0.017,0.017,0.986703762,1,no,2,0,0
5720,0,LOC102032980,mRNA,NW_005054849.1:3664-12020,+,-,0,0,-3.321928095,0,0,1,1,no,0,0,0
8568,-84,LOC115948522,mRNA,NW_005054300.1:9002895-9007237,-,-,433,774,9.237209961,-0.838,0.838,0.180975899,1,no,2,0,0
6568,0,LOC102038536,mRNA,NW_005054686.1:167679-204423,+,-,0,0,-3.321928095,0,0,0.763446307,1,no,0,0,0
14790,23,TRABD2A,mRNA,NW_005054485.1:737364-837842,-,-,44,37,5.339850003,0.225,0.225,0.688929851,1,no,2,0,0
12072,-108,PVALB,mRNA,NW_005054334.1:2644634-2654474,-,-,7,16,3.523561956,-1.076,1.076,0.081120512,1,no,1,1,0
13132,321,SH3TC1,mRNA,NW_005054372.1:2571088-2599558,-,-,70,8,5.285402219,3.207,3.207,0.007817271,1,no,1,1,0
6449,-2,LOC102037801,mRNA,NW_005056294.1:284-1950,+,-,0,1,-1,-1.781,1.781,0.17388437,1,no,0,1,0
2273,108,CTHRC1,mRNA,NW_005054353.1:2493625-2497044,+,-,10,5,2.906890596,1.084,1.084,0.459535905,1,no,1,1,0
6130,0,LOC102035828,mRNA,NW_005063003.1:256-954,-,-,0,0,-3.321928095,0,0,0.957106126,1,no,0,0,0
14033,104,SUSD2,mRNA,NW_005054330.1:1159679-1176267,-,-,10,5,2.906890596,1.04,1.04,0.413845696,1,no,1,1,0
11262,-73,PDZD7,mRNA,NW_005054300.1:5136710-5144187,-,-,845,1401,10.13314221,-0.73,0.73,0.07938729,1,no,2,0,0
6627,-107,LOC102038924,mRNA,NW_005054436.1:1390726-1402305,-,-,2,4,1.584962501,-1.074,1.074,0.274319057,1,no,0,1,0
3422,71,FAM169A,mRNA,NW_005054476.1:376954-398364,+,-,7,4,2.459431619,0.708,0.708,0.527293546,1,no,0,0,0
13724,-8,SPATA13,mRNA,NW_005054302.1:2001310-2170880,+,-,2,3,1.321928095,-0.082,0.082,0.929423923,1,no,0,0,0
5995,-62,LOC102034805,mRNA,NW_005054460.1:17924-28559,-,-,37,56,5.539158811,-0.62,0.62,0.140119625,1,no,2,0,0
6061,26,LOC102035260,mRNA,NW_005055086.1:917-8663,+,-,12,10,3.459431619,0.262,0.262,0.740826869,1,no,2,0,0
5386,-1,LDHD,mRNA,NW_005054343.1:2749661-2752855,+,-,0,1,-1,-0.798,0.798,0.445923622,1,no,0,0,0
140,-80,ACSL3,mRNA,NW_005054371.1:351943-387608,+,-,7,12,3.247927513,-0.8,0.8,0.27227364,1,no,1,0,0
9711,0,MARCHF3,mRNA,NW_005054670.1:167527-223128,+,-,0,0,-3.321928095,0,0,0.728694023,1,no,0,0,0
14499,-78,TMEM120B,mRNA,NW_005054362.1:2883606-2892682,+,-,4,8,2.584962501,-0.778,0.778,0.45236554,1,no,0,0,0
937,98,B3GALT5,mRNA,NW_005054656.1:285172-288637,-,-,6,3,2.169925001,0.979,0.979,0.328748008,1,no,0,0,0
4272,-3,GRK5,mRNA,NW_005054451.1:537196-708976,-,-,0,2,0,-2.956,2.956,0.014676725,1,no,0,1,0
4620,-1,HSF2BP,mRNA,NW_005054438.1:495050-526933,+,-,0,1,-1,-1.135,1.135,0.479804055,1,no,0,1,0
3752,-12,FRMD3,mRNA,NW_005054323.1:773432-855713,+,-,14,15,3.857980995,-0.116,0.116,0.824186793,1,no,2,0,0
6314,-1,LOC102036895,mRNA,NW_005054410.1:2491199-2502757,+,-,0,1,-1,-1.254,1.254,0.435574775,1,no,0,1,0
5611,84,LOC102032275,mRNA,NW_005054343.1:3747708-3757277,+,-,55,31,5.426264755,0.838,0.838,0.397733713,1,no,2,0,0
3227,-106,EPSTI1,mRNA,NW_005054322.1:2077566-2127800,-,-,55,116,6.417852515,-1.063,1.063,0.145834477,1,no,2,1,0
4596,0,HRH1,mRNA,NW_005054650.1:286118-289189,-,-,0,0,-3.321928095,0,0,0.707612691,1,no,0,0,0
6250,28,LOC102036509,mRNA,NW_005054721.1:54617-110504,-,+,5,4,2.169925001,0.277,0.277,0.557757918,1,no,0,0,0
3682,128,FLT1,mRNA,NW_005054302.1:581831-675121,+,-,2,1,0.584962501,1.284,1.284,0.074878539,1,no,0,1,0
5824,-62,LOC102033658,mRNA,NW_005054309.1:473162-475599,-,-,1,2,0.584962501,-0.62,0.62,0.698925637,1,no,0,0,0
8373,40,LOC115948281,mRNA,NW_005054370.1:821289-831924,+,-,5,4,2.169925001,0.404,0.404,0.661349298,1,no,0,0,0
5022,14,KATNAL2,mRNA,NW_005054365.1:2329131-2351240,+,-,11,10,3.392317423,0.137,0.137,0.814605816,1,no,2,0,0
2403,-2,CUNH3orf52,mRNA,NW_005054320.1:1005814-1016055,+,-,0,1,-1,-1.591,1.591,0.252289363,1,no,0,1,0
2535,16,DCP1B,mRNA,NW_005054326.1:51980-90819,+,-,12,11,3.523561956,0.159,0.159,0.718004289,1,no,2,0,0
13242,310,SLC16A4,mRNA,NW_005054425.1:2094286-2117956,-,-,10,1,2.459431619,3.102,3.102,0.012367323,1,no,1,1,0
2917,23,DUSP14,mRNA,NW_005054368.1:1226721-1230431,-,-,10,9,3.247927513,0.234,0.234,0.836797723,1,no,1,0,0
7882,31,LOC106632244,mRNA,NW_005054308.1:11117084-11121718,+,-,13,10,3.523561956,0.306,0.306,0.657075317,1,no,2,0,0
7043,-29,LOC102041422,mRNA,NW_005054776.1:1685-90279,+,+,8,10,3.169925001,-0.289,0.289,0.460610454,1,no,1,0,0
12785,16,RUSC2,mRNA,NW_005054471.1:11580-68574,-,-,37,33,5.129283017,0.163,0.163,0.798497576,1,no,2,0,0
6883,0,LOC102040415,mRNA,NW_005054772.1:61977-63228,-,-,2,0,0,2.696,2.696,0.007615075,1,no,0,1,0
7114,137,LOC102042000,mRNA,NW_005054621.1:374304-380647,-,-,13,5,3.169925001,1.367,1.367,0.050374276,1,no,1,1,0
9585,0,LYVE1,mRNA,NW_005054416.1:784105-792465,-,-,1,1,0,-0.27,0.27,0.757504692,1,no,0,0,0
14164,-10,TASOR,mRNA,NW_005054339.1:4765016-4793315,-,-,160,172,7.375039431,-0.101,0.101,0.891756464,1,no,2,0,0
7246,-68,LOC102042979,mRNA,NW_005054380.1:1757134-1761388,+,-,25,40,5.022367813,-0.682,0.682,0.503941996,1,no,2,0,0
1717,0,CERS1,mRNA,NW_005054662.1:257479-263820,-,-,1,0,-1,1.823,1.823,0.200222202,1,no,0,1,0
6337,4,LOC102037024,mRNA,NW_005054299.1:617324-626316,-,-,2952,2878,11.50928017,0.037,0.037,0.956194837,1,no,2,0,0
15388,-73,USP18,mRNA,NW_005054384.1:865266-877230,+,-,40,67,5.741466986,-0.73,0.73,0.269678144,1,no,2,0,0
5696,-94,LOC102032844,mRNA,NW_005054384.1:881243-891191,+,-,3,6,2.169925001,-0.938,0.938,0.248421631,1,no,0,0,0
2898,-131,DTNA,mRNA,NW_005054305.1:6859868-7029080,+,-,12,29,4.357552005,-1.31,1.31,0.193616629,1,no,2,1,0
12839,-259,SARDH,mRNA,NW_005054329.1:3535451-3561305,+,-,1,9,2.321928095,-2.586,2.586,0.047529285,1,no,0,1,0
5025,-97,KAZALD1,mRNA,NW_005054300.1:5157654-5162705,+,-,111,218,7.361943774,-0.965,0.965,0.058880385,1,no,2,0,0
9274,-30,LOC115949410,mRNA,NW_005058530.1:156-1642,+,-,36,45,5.339850003,-0.304,0.304,0.663697446,1,no,2,0,0
1446,-9,CCDC66,mRNA,NW_005054339.1:4742550-4764026,+,-,13,14,3.754887502,-0.086,0.086,0.897819053,1,no,2,0,0
10754,-61,NR4A3,mRNA,NW_005054311.1:7593942-7620263,-,-,1460,2229,10.84901407,-0.61,0.61,0.325549944,1,no,2,0,0
2052,-72,COL28A1,mRNA,NW_005054307.1:4898846-4956641,+,-,66,109,6.451211112,-0.72,0.72,0.224281783,1,no,2,0,0
2149,87,CPO,mRNA,NW_005054298.1:24140402-24154177,+,-,2,1,0.584962501,0.874,0.874,0.434069826,1,no,0,0,0
13629,25,SNTA1,mRNA,NW_005054561.1:117938-140779,-,-,57,48,5.714245518,0.249,0.249,0.682672061,1,no,2,0,0
